species,mean,sd,method,reference
Emiliania huxleyi,15.6,0,lab measurement,fiorini2011
Emiliania huxleyi,21.6,2.4,lab measurement,fiorini2011
Calcidiscus leptoporus,81.6,9.6,lab measurement,fiorini2011
Calcidiscus leptoporus,50.4,13.2,lab measurement,fiorini2011
Syracosphaera pulchra,144,15.6,lab measurement,fiorini2011
Syracosphaera pulchra,201.6,0,lab measurement,fiorini2011
