species,mean,sd,method,reference
Reticulofenestra parvula,2.04,0.24,lab measurement,villiot2021a
Emiliania huxleyi,2.52,0.72,lab measurement,villiot2021a
Emiliania huxleyi,5.4,3.24,lab measurement,villiot2021a
Gephyrocapsa mullerae,4.68,0.6,lab measurement,villiot2021a
Gephyrocapsa oceanica,15.48,1.2,lab measurement,villiot2021a
Calcidiscus leptoporus,31.44,3.96,lab measurement,villiot2021a
Syracosphaera pulchra,41.16,3.96,lab measurement,villiot2021a
Calcidiscus leptoporus,35.28,5.64,lab measurement,villiot2021a
Coccolithus braarudii,45.84,8.88,lab measurement,villiot2021a
