Latitude,Longitude,Depth,Day,Month,Year,Reference,Method,Acanthoica acanthifera,Acanthoica acanthos,Acanthoica quattrospina,Anoplosolenia brasiliensis,Anoplosolenia braziliensis,Anthosphaera SP.,Braarudosphaera bigelowii,Calcidiscus leptoporus (MURRA,Calcioconus vitreus,Calciosolenia murrayi,Calciosolenia murrayi ,Calyptrosphaera sp.,Caneosphaera molischii,Caneosphaera molischii and similar,Coccolithophorida ,Coccolithophoridae ,Coccolithophorids <10 um,Coccolithophorids <10 um (5 - 10),Coccolithus huxleyi,Coccolithus pelagicus,Coronosphaera sp.,Cricosphaera carterae,Crystallolithus hyalina,Cyclococcolithus fragilis,Discosphaera  tubifer,Emiliania huxleyi,Emiliania huxleyi ,Gephyracapsa sp.,Halopappus adriaticus ,Heimiella excentrica,Helicosphaera carteri,Holococcolithophorid 14µm,Holococcolithophorid 8µm,Lohmannosphaera adriatica,Lohmannosphaera paucoscyphos,Michaelsarsia elegans ,Ophiaster hydroideuss ,Other coccolithophores,Pontosphaera huxleyi ,Pontosphaera nigra,Pontosphaera syracusana,Pontosphaera syracusana Lohmann,Rhabdosphaera claviger,Scyphosphaera apstenii,Syrachosphaera pulchra,Syracosphaera brandtii ,Syracosphaera cf. pulchra ,Syracosphaera mediterranea ,Syracosphaera pulchra,Thoracosphaera heimii,Umbellosphaera irregularis ,Umbellosphaera sp,Umbilicosphaera mirabilis,Umbilicosphaera sibogae (Weber-van-Bosse) Gaarder,Unident. Coccolithophorid,coccolith sp.,coccolithoph sexton,coccolithophorid,mixed coccolithophorids
-50.6666666666667,68.4166666666667,50.0,0,10,1994,http://www.obs-vlfr.fr/cd_rom_dmtt/other_main.htm,LM,,,,,,,,,,,,,,,,,,1720.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-50.6666666666667,68.4166666666667,50.0,0,10,1993,http://www.obs-vlfr.fr/cd_rom_dmtt/other_main.htm,LM,,,,,,,,,,,,,,,,,1420.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-50.6666666666667,68.4166666666667,50.0,0,11,1992,http://www.obs-vlfr.fr/cd_rom_dmtt/other_main.htm,LM,,,,,,,,,,,,,,,,,95100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-50.6666666666667,68.4166666666667,50.0,0,12,1994,http://www.obs-vlfr.fr/cd_rom_dmtt/other_main.htm,LM,,,,,,,,,,,,,,,,,,116060.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-50.6666666666667,68.4166666666667,50.0,0,12,1993,http://www.obs-vlfr.fr/cd_rom_dmtt/other_main.htm,LM,,,,,,,,,,,,,,,,,1996.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-50.6666666666667,68.4166666666667,100.0,0,1,1994,http://www.obs-vlfr.fr/cd_rom_dmtt/other_main.htm,LM,,,,,,,,,,,,,,,,,,9889.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-50.6666666666667,68.4166666666667,100.0,0,1,1995,http://www.obs-vlfr.fr/cd_rom_dmtt/other_main.htm,LM,,,,,,,,,,,,,,,,,,20620.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-50.6666666666667,68.4166666666667,100.0,0,2,1994,http://www.obs-vlfr.fr/cd_rom_dmtt/other_main.htm,LM,,,,,,,,,,,,,,,,,,42050.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-50.6666666666667,68.4166666666667,100.0,0,2,1995,http://www.obs-vlfr.fr/cd_rom_dmtt/other_main.htm,LM,,,,,,,,,,,,,,,,,,105000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-50.6666666666667,68.4166666666667,100.0,0,3,1994,http://www.obs-vlfr.fr/cd_rom_dmtt/other_main.htm,LM,,,,,,,,,,,,,,,,,,9000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
