Latitude,Longitude,Depth,Day,Month,Year,Reference,Method,Emiliania huxleyi,Gephyrocapsa ericsonii,Gephyrocapsa oceanica,Calcidiscus leptoporus quadriperforatus,Umbilicosphaera sibogae,Umbilicosphaera foliosa,Helicosphaera carteri,Helicosphaera wallichii,Helicosphaera hyalina,Scyphosphaera apsteinii,Pontosphaera japonica ,Acanthoica quattrospina,Acanthoica sp.,Algirosphaera robusta,Algirosphaera cucullata,Cyrtosphaera aculeata,Discosphaera tubifera,Rhabdosphaera clavigera var stylifera,Rhabdosphaera clavigera var. clavigera,Rhabdosphaera xiphos,Palusphaera vandellii,Syracosphaeraceae spp.,Syracosphaera anthos ,Syracosphaera ossa type 1,Syracosphaera  ossa type 2 ,Syracosphaera molischii type 3 or 4,Syracosphaera nodosa,Syracosphaera prolongata,Syracosphaera pulchra,Syracosphaera histrica,Syracosphaera bannockii,Syracosphaera nana,Syracosphaera hastata,Syracosphaera corolla,Syracosphaera azureaplaneta,Syracosphaera protrudens,Syracosphaera marginaporata,Syracosphaera dilatata or arethusae,Syracosphaera lamina,Syracosphaera rotula,Syracosphaera ampliora,Syracosphaera mediterranea,Michaelsarsia adriaticus,Michaelsarsia elegans,Ophiaster sp.,Calciosolenia brasiliensis,Calciosolenia murrayi,Calciosolenia corselli,Alisphaera gaudii,Alisphaera capulata,Alisphaera unicornis,Papposphaeracea,Kataspinifer baumannii,Papposphaera lepida,Papposphaera type1,Vexillarius sp.,Vexillarius cancellifer,Vexillarius iaculifer,Umbellosphaera tenuis,Umbellosphaera irregularis,Florisphaera profunda var. elongata,Florisphaera profunda var. profunda,Florisphaera profunda var rhinocera,Gladiolithus flabellatus,Navilithus altivelum,Canistrolithus valliformis,Ceratolithus cristatus HET nishidae type,Ceratolithus cristatus CER cristatus type,holococcolithophore spp.,Syracosphaera molischii HOL,Anthosphaera periperforata,Syracosphaera pulchra oblonga type,Syracosphaera pulchra  pirus type ,Syracosphaera histrica HOL,Syracosphaera banockii HOL,Syracosphaera anthos HOL,Calyptrolithina divergens,Helicosphaera HOL catilliferus type,Helicosphaera ponticuliferus HOL,Helicosphaera confusus type,Corisphaera sp.,Corisphaera gracilis,Corisphaera strigilis,Gliscolithus amitakareniae,Calyptrosphaera sphaeroidea HOL,Calyptrosphaera dentata,Syracosphaera. arethusae HOL,Calcidiscus leptoporus subsp. quadriperforatus HOL,Poricalyptra aurisinae,Coronosphaera mediterranea HOL gracillima type,Coronosphaera mediterranea HOL hellenica type,Coronosphaera mediterranea HOL wettsteinii type,Scyphosphaera apsteinii HOL,Pontosphaera japonica HOL,Sphaerocalyptra quadridentata,Alisphaera unicormis POL,Alisphaera gaudii POL,Flosculosphaera calceolariopsis
34.38,32.82,10,7,9,2018,Keuter2022,SEM,1480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,740.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.38,32.82,25,7,9,2018,Keuter2022,SEM,6280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,670.0,0.0,70.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,200.0,200.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,870.0,0.0,0.0,200.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,70.0,200.0,0.0,0.0,0.0,130.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,70.0
34.38,32.82,50,7,9,2018,Keuter2022,SEM,2670.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,850.0,60.0,120.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3950.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,360.0,0.0,0.0,1520.0,2120.0,120.0,0.0,610.0,0.0,0.0,180.0,180.0,0.0,0.0,0.0,60.0,0.0,0.0,180.0,180.0,300.0,60.0,240.0,180.0,0.0,0.0,0.0,360.0,0.0,60.0
34.38,32.82,100,7,9,2018,Keuter2022,SEM,1370.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,230.0,1140.0,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,90.0,230.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,370.0,0.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,910.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0
34.38,32.82,135,7,9,2018,Keuter2022,SEM,380.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,920.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,160.0,0.0,0.0,110.0,0.0,0.0,0.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.38,32.82,150,7,9,2018,Keuter2022,SEM,480.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4390.0,1840.0,40.0,790.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.38,32.82,180,7,9,2018,Keuter2022,SEM,470.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,0.0,0.0,0.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,3620.0,2020.0,0.0,590.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.95,33.04,25,7,9,2018,Keuter2022,SEM,810.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.0,0.0,0.0,0.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0
34.95,33.04,75,7,9,2018,Keuter2022,SEM,1150.0,0.0,580.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,260.0,0.0,0.0,0.0,420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.38,32.82,3,10,8,2018,Keuter2022,SEM,160.0,0.0,160.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2460.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
