species,CN,CL,CD
Calcidiscus leptoporus,21,7.37,14.55
Calcidiscus leptoporus,16,6.82,13.40
Calcidiscus leptoporus,16,7.38,12.09
Calcidiscus leptoporus,16,7.88,13.17
Calcidiscus leptoporus,14,7.60,12.01
Calcidiscus leptoporus,13,8.23,12.51
Calcidiscus leptoporus,22,6.95,17.45
Calcidiscus leptoporus,15,7.30,13.27
Calcidiscus leptoporus,12,6.82,11.51
Calcidiscus leptoporus,16,7.26,13.55
Calcidiscus leptoporus,24,7.78,16.74
Calcidiscus leptoporus,21,7.72,15.09
Calcidiscus leptoporus,17,7.58,13.43
Calcidiscus leptoporus,15,8.38,12.36
Calcidiscus leptoporus,17,8.08,14.35
Calcidiscus leptoporus,11,7.04,12.10
Calcidiscus leptoporus,12,6.94,11.37
Calcidiscus leptoporus,22,6.64,14.91
Calcidiscus leptoporus,19,7.57,13.41
Calcidiscus leptoporus,21,6.74,14.72
Calcidiscus leptoporus,13,7.13,13.12
Calcidiscus leptoporus,18,6.37,13.18
Calcidiscus leptoporus,19,8.13,14.39
Calcidiscus leptoporus,11,8.30,12.17
Calcidiscus leptoporus,20,6.15,13.95
Calcidiscus leptoporus,25,6.97,16.51
Calcidiscus leptoporus,17,6.68,12.84
Calcidiscus leptoporus,21,6.55,13.92
Calcidiscus leptoporus,17,6.46,12.73
Calcidiscus leptoporus,22,7.66,14.72
Calcidiscus leptoporus,18,7.80,13.39
Calcidiscus leptoporus,14,7.75,11.29
Calcidiscus leptoporus,27,6.62,15.43
Calcidiscus leptoporus,17,6.46,13.01
Calcidiscus leptoporus,18,7.49,14.16
Calcidiscus leptoporus,20,7.29,13.37
Calcidiscus leptoporus,19,6.49,13.32
Calcidiscus leptoporus,12,5.96,12.27
Calcidiscus leptoporus,20,7.15,13.56
Calcidiscus leptoporus,14,6.73,11.44
Calcidiscus leptoporus,26,8.51,17.49
Calcidiscus leptoporus,14,5.94,11.61
Calcidiscus leptoporus,19,8.53,15.18
Calcidiscus leptoporus,15,6.15,12.24
Calcidiscus leptoporus,18,7.25,16.02
Calcidiscus leptoporus,14,7.94,12.50
Calcidiscus leptoporus,20,8.15,13.52
Calcidiscus leptoporus,12,6.83,10.08
Calcidiscus leptoporus,17,6.86,13.35
Calcidiscus leptoporus,18,6.55,13.26
Calcidiscus leptoporus,16,7.21,12.75
Calcidiscus leptoporus,29,8.36,16.54
Calcidiscus leptoporus,24,6.45,15.94
Calcidiscus leptoporus,17,6.49,12.23
Calcidiscus leptoporus,18,6.61,13.43
Calcidiscus leptoporus,23,6.56,15.74
Calcidiscus leptoporus,12,6.87,11.48
Calcidiscus leptoporus,15,6.77,13.19
Calcidiscus leptoporus,19,8.42,13.42
Calcidiscus leptoporus,19,7.17,13.24
Calcidiscus leptoporus,16,7.58,13.93
Calcidiscus leptoporus,13,7.42,12.06
Calcidiscus leptoporus,19,8.18,14.08
Calcidiscus leptoporus,20,7.02,14.22
Calcidiscus leptoporus,27,6.78,15.74
Calcidiscus leptoporus,19,6.56,13.17
Calcidiscus leptoporus,17,6.34,12.52
Calcidiscus leptoporus,22,7.14,13.32
Calcidiscus leptoporus,18,7.71,13.34
Calcidiscus leptoporus,11,7.64,10.79
Calcidiscus leptoporus,21,6.32,14.51
Calcidiscus leptoporus,23,6.72,14.01
Calcidiscus leptoporus,17,7.20,13.65
Calcidiscus leptoporus,17,6.41,11.13
Calcidiscus leptoporus,19,7.07,13.37
Calcidiscus leptoporus,14,8.61,11.86
Calcidiscus leptoporus,25,7.59,15.09
Calcidiscus leptoporus,23,7.72,14.60
Calcidiscus leptoporus,21,6.73,14.67
Calcidiscus leptoporus,15,7.24,11.13
Calcidiscus leptoporus,26,7.20,14.87
Calcidiscus leptoporus,17,7.21,14.07
Calcidiscus leptoporus,20,7.69,14.75
Calcidiscus leptoporus,14,8.06,11.47
Calcidiscus leptoporus,19,5.86,14.82
Calcidiscus leptoporus,13,7.21,11.84
Calcidiscus leptoporus,16,6.13,12.87
Calcidiscus leptoporus,17,6.75,12.61
Calcidiscus leptoporus,19,6.11,13.88
Calcidiscus leptoporus,16,6.87,13.15
Calcidiscus leptoporus,18,7.25,13.72
Calcidiscus leptoporus,23,6.78,15.92
Calcidiscus leptoporus,19,7.02,13.70
Calcidiscus leptoporus,19,6.44,14.59
Calcidiscus leptoporus,22,6.43,14.09
Calcidiscus leptoporus,16,6.31,12.57
Calcidiscus leptoporus,25,6.51,16.89
Calcidiscus leptoporus,15,6.22,11.65
Calcidiscus leptoporus,14,5.73,11.13
Calcidiscus leptoporus,25,6.39,13.66
Calcidiscus leptoporus,13,6.12,12.46
Calcidiscus leptoporus,21,7.60,14.85
Calcidiscus leptoporus,26,7.28,14.73
Calcidiscus leptoporus,21,6.37,13.91
Calcidiscus leptoporus,21,6.56,14.20
Calcidiscus leptoporus,19,6.16,13.44
Calcidiscus leptoporus,20,7.78,13.36
Calcidiscus leptoporus,17,7.75,13.00
Calcidiscus leptoporus,14,7.25,10.72
Calcidiscus leptoporus,17,6.26,12.72
Calcidiscus leptoporus,19,6.82,14.03
Calcidiscus leptoporus,18,7.49,12.60
Calcidiscus leptoporus,16,7.21,12.45
Calcidiscus leptoporus,12,6.06,11.52
Calcidiscus leptoporus,18,6.43,13.67
Calcidiscus leptoporus,23,6.61,14.78
Calcidiscus leptoporus,26,7.25,15.38
Calcidiscus leptoporus,15,6.73,11.89
Calcidiscus leptoporus,25,7.08,15.38
Calcidiscus leptoporus,18,6.50,13.80
Calcidiscus leptoporus,15,6.12,12.23
Calcidiscus leptoporus,19,6.96,13.29
Calcidiscus leptoporus,15,6.69,10.75
Calcidiscus leptoporus,21,7.14,14.10
Calcidiscus leptoporus,23,7.17,15.45
Calcidiscus leptoporus,21,7.06,13.27
Calcidiscus leptoporus,18,6.97,11.84
Calcidiscus leptoporus,20,6.15,14.43
Calcidiscus leptoporus,19,6.86,13.87
Calcidiscus leptoporus,25,6.39,14.93
Calcidiscus leptoporus,24,6.33,14.79
Calcidiscus leptoporus,25,7.61,14.98
Calcidiscus leptoporus,17,6.35,12.76
Calcidiscus leptoporus,25,6.28,14.55
Calcidiscus leptoporus,20,6.93,14.52
Calcidiscus leptoporus,17,7.78,13.10
Calcidiscus leptoporus,25,6.68,14.94
Calcidiscus leptoporus,13,6.58,11.61
Calcidiscus leptoporus,18,6.66,13.25
Calcidiscus leptoporus,16,6.26,13.01
Calcidiscus leptoporus,15,6.76,12.52
Calcidiscus leptoporus,21,7.47,13.36
Calcidiscus leptoporus,16,6.61,13.74
Calcidiscus leptoporus,21,7.52,14.54
Calcidiscus leptoporus,25,5.60,14.90
Calcidiscus leptoporus,18,6.70,12.46
Calcidiscus leptoporus,18,5.99,11.32
Calcidiscus leptoporus,17,6.43,12.24
Calcidiscus leptoporus,17,6.01,11.07
Calcidiscus leptoporus,26,6.16,15.34
Calcidiscus leptoporus,18,6.27,13.28
Calcidiscus leptoporus,15,5.88,11.66
Calcidiscus leptoporus,21,6.86,14.20
Calcidiscus leptoporus,22,6.67,14.32
Calcidiscus leptoporus,19,6.65,14.22
Calcidiscus leptoporus,22,6.91,13.33
Calcidiscus leptoporus,10,6.33,11.32
Calcidiscus leptoporus,13,6.38,11.06
Calcidiscus leptoporus,17,6.80,13.08
Calcidiscus leptoporus,14,5.65,12.36
Calcidiscus leptoporus,12,6.03,11.01
Calcidiscus leptoporus,20,6.26,13.39
Calcidiscus leptoporus,16,6.83,12.96
Calcidiscus leptoporus,16,5.90,12.12
Calcidiscus leptoporus,17,6.64,12.39
Calcidiscus leptoporus,17,6.50,13.47
Calcidiscus leptoporus,25,6.98,11.08
Calcidiscus leptoporus,23,6.96,14.89
Calcidiscus leptoporus,13,6.57,12.35
Calcidiscus leptoporus,19,6.10,13.41
Calcidiscus leptoporus,26,5.96,14.28
Calcidiscus leptoporus,22,6.50,13.81
Calcidiscus leptoporus,22,6.13,14.75
Calcidiscus leptoporus,19,6.35,13.42
Calcidiscus leptoporus,16,6.61,12.21
Calcidiscus leptoporus,22,6.76,15.02
Calcidiscus leptoporus,23,6.80,14.01
Calcidiscus leptoporus,20,6.54,13.62
Calcidiscus leptoporus,18,6.66,12.41
Calcidiscus leptoporus,18,5.47,12.49
Calcidiscus leptoporus,21,6.83,14.02
Calcidiscus leptoporus,15,6.53,10.26
Calcidiscus leptoporus,17,6.28,12.62
Calcidiscus leptoporus,23,6.66,13.95
Calcidiscus leptoporus,19,5.89,13.85
Calcidiscus leptoporus,23,7.12,14.80
Calcidiscus leptoporus,17,6.80,12.56
Calcidiscus leptoporus,12,5.01,11.44
Calcidiscus leptoporus,14,6.67,11.43
Calcidiscus leptoporus,15,6.61,12.17
Calcidiscus leptoporus,27,6.40,15.92
Calcidiscus leptoporus,26,6.46,14.37
Calcidiscus leptoporus,16,6.64,12.15
Calcidiscus leptoporus,21,6.77,14.17
Calcidiscus leptoporus,23,5.98,14.76
Calcidiscus leptoporus,19,5.38,14.38
Calcidiscus leptoporus,18,6.26,12.74
Calcidiscus leptoporus,12,6.59,11.67
Calcidiscus leptoporus,14,6.32,12.08
Calcidiscus leptoporus,18,7.29,12.47
Calcidiscus leptoporus,26,6.48,14.93
Calcidiscus leptoporus,20,6.76,13.32
Calcidiscus leptoporus,16,6.83,12.28
Calcidiscus leptoporus,17,5.93,12.30
Calcidiscus leptoporus,15,6.02,11.98
Calcidiscus leptoporus,15,5.72,12.41
Calcidiscus leptoporus,15,6.31,13.05
Calcidiscus leptoporus,15,6.45,11.91
Calcidiscus leptoporus,12,6.95,11.36
Calcidiscus leptoporus,19,6.33,15.28
Calcidiscus leptoporus,19,5.85,12.99
Calcidiscus leptoporus,34,7.01,19.19
Calcidiscus leptoporus,15,6.73,13.52
Calcidiscus leptoporus,15,7.58,12.60
Calcidiscus leptoporus,15,6.44,13.13
Calcidiscus leptoporus,23,6.87,14.57
Calcidiscus leptoporus,15,6.19,12.81
Calcidiscus leptoporus,17,6.66,11.71
Calcidiscus leptoporus,22,6.92,14.70
Calcidiscus leptoporus,13,6.20,11.58
Calcidiscus leptoporus,19,6.26,13.10
Calcidiscus leptoporus,21,5.91,14.03
Calcidiscus leptoporus,28,6.47,16.42
Calcidiscus leptoporus,17,7.06,12.16
Calcidiscus leptoporus,27,6.39,15.13
Calcidiscus leptoporus,19,6.37,14.95
Calcidiscus leptoporus,17,6.65,12.07
Calcidiscus leptoporus,21,6.32,14.03
Calcidiscus leptoporus,20,6.90,13.41
Calcidiscus leptoporus,17,6.02,11.90
Calcidiscus leptoporus,14,6.88,11.60
Calcidiscus leptoporus,11,6.39,10.76
Calcidiscus leptoporus,13,6.82,11.35
Calcidiscus leptoporus,23,6.46,14.55
Calcidiscus leptoporus,20,6.71,13.95
Calcidiscus leptoporus,10,6.45,10.58
Calcidiscus leptoporus,19,6.07,12.67
Calcidiscus leptoporus,25,7.14,14.12
Calcidiscus leptoporus,17,6.37,10.90
Calcidiscus leptoporus,22,6.93,13.82
Calcidiscus leptoporus,23,6.50,14.00
Calcidiscus leptoporus,18,6.40,12.73
Calcidiscus leptoporus,23,7.70,13.95
Calcidiscus leptoporus,19,6.07,12.67
Calcidiscus leptoporus,14,6.54,11.72
Calcidiscus leptoporus,21,7.25,12.72
Calcidiscus leptoporus,16,6.81,13.16
Calcidiscus leptoporus,22,7.37,14.28
Calcidiscus leptoporus,23,7.22,15.40
Calcidiscus leptoporus,18,6.83,12.69
Calcidiscus leptoporus,27,7.76,15.45
Calcidiscus leptoporus,26,6.50,14.08
Calcidiscus leptoporus,20,6.05,13.97
Calcidiscus leptoporus,19,6.26,12.33
Calcidiscus leptoporus,18,6.68,12.45
Calcidiscus leptoporus,19,7.62,13.89
Calcidiscus leptoporus,25,6.52,16.29
Calcidiscus leptoporus,16,6.44,12.28
Calcidiscus leptoporus,24,6.02,13.74
Calcidiscus leptoporus,14,6.20,10.78
Calcidiscus leptoporus,25,6.03,15.51
Calcidiscus leptoporus,19,6.68,13.92
Calcidiscus leptoporus,20,6.00,12.32
Calcidiscus leptoporus,21,5.80,14.35
Calcidiscus leptoporus,24,6.38,14.12
Calcidiscus leptoporus,20,6.58,12.49
Calcidiscus leptoporus,25,6.26,13.91
Calcidiscus leptoporus,18,6.41,12.37
Calcidiscus leptoporus,20,6.01,13.57
Calcidiscus leptoporus,21,7.52,14.39
Calcidiscus leptoporus,15,6.95,11.67
Calcidiscus leptoporus,24,7.44,13.92
Calcidiscus leptoporus,15,6.32,12.29
Calcidiscus leptoporus,14,6.10,12.16
Calcidiscus leptoporus,17,6.47,12.07
Calcidiscus leptoporus,21,6.48,13.19
Calcidiscus leptoporus,20,7.40,14.67
Calcidiscus leptoporus,19,6.96,13.81
Calcidiscus leptoporus,16,6.25,12.23
Calcidiscus leptoporus,15,6.97,13.56
Calcidiscus leptoporus,14,6.91,11.83
Calcidiscus leptoporus,21,6.83,14.79
Calcidiscus leptoporus,25,6.85,13.98
Calcidiscus leptoporus,18,6.94,12.60
Calcidiscus leptoporus,15,7.01,12.25
Calcidiscus leptoporus,20,6.75,14.99
Calcidiscus leptoporus,36,6.05,18.04
Calcidiscus leptoporus,22,7.01,13.64
Calcidiscus leptoporus,30,7.12,16.51
Calcidiscus leptoporus,22,6.59,13.77
Calcidiscus leptoporus,22,7.07,13.47
Calcidiscus leptoporus,23,7.02,14.01
Calcidiscus leptoporus,17,6.02,11.81
Calcidiscus leptoporus,19,7.19,14.08
Calcidiscus leptoporus,16,5.43,11.83
Calcidiscus leptoporus,27,5.78,15.52
Calcidiscus leptoporus,25,6.07,15.09
Calcidiscus leptoporus,23,7.11,13.80
Calcidiscus leptoporus,18,6.44,11.89
Calcidiscus leptoporus,14,7.02,11.46
Calcidiscus leptoporus,20,6.03,13.83
Calcidiscus leptoporus,24,6.12,14.61
Calcidiscus leptoporus,23,6.47,14.15
Calcidiscus leptoporus,31,5.83,17.11
Calcidiscus leptoporus,20,6.59,15.17
Calcidiscus leptoporus,15,6.07,12.24
Calcidiscus leptoporus,23,6.93,14.40
Calcidiscus leptoporus,25,6.27,14.95
Calcidiscus leptoporus,18,5.94,11.79
Calcidiscus leptoporus,27,6.84,14.30
Calcidiscus leptoporus,14,6.17,13.42
Calcidiscus leptoporus,18,6.89,12.78
Calcidiscus leptoporus,21,7.02,13.94
Calcidiscus leptoporus,16,5.50,12.24
Calcidiscus leptoporus,24,6.84,13.94
Calcidiscus leptoporus,17,6.51,11.33
Calcidiscus leptoporus,13,6.84,10.86
Calcidiscus leptoporus,24,7.20,14.89
Calcidiscus leptoporus,15,5.83,11.67
Calcidiscus leptoporus,20,6.21,12.71
Calcidiscus leptoporus,15,7.44,12.06
Calcidiscus leptoporus,20,7.16,13.62
Calcidiscus leptoporus,17,6.65,11.61
Calcidiscus leptoporus,25,6.30,14.78
Calcidiscus leptoporus,24,7.19,14.30
Calcidiscus leptoporus,27,6.26,16.00
Calcidiscus leptoporus,24,6.50,15.58
Calcidiscus leptoporus,28,6.89,15.60
Calcidiscus leptoporus,18,6.09,13.55
Calcidiscus leptoporus,19,7.24,12.81
Calcidiscus leptoporus,17,7.20,13.07
Calcidiscus leptoporus,12,5.39,12.08
Calcidiscus leptoporus,22,6.18,13.98
Calcidiscus leptoporus,24,6.17,15.19
Calcidiscus leptoporus,18,7.05,13.06
Calcidiscus leptoporus,23,7.39,13.69
Calcidiscus leptoporus,27,6.86,14.75
Calcidiscus leptoporus,28,7.00,16.31
Calcidiscus leptoporus,20,6.70,13.73
Calcidiscus leptoporus,24,6.76,14.90
Calcidiscus leptoporus,28,6.95,14.61
Calcidiscus leptoporus,16,6.94,12.55
Calcidiscus leptoporus,21,5.83,13.10
Calcidiscus leptoporus,23,7.37,15.12
Calcidiscus leptoporus,16,6.80,11.91
Calcidiscus leptoporus,25,7.69,14.15
Calcidiscus leptoporus,19,6.86,15.04
Calcidiscus leptoporus,20,6.09,13.39
Calcidiscus leptoporus,21,6.86,14.76
Calcidiscus leptoporus,24,6.23,15.09
Calcidiscus leptoporus,29,7.16,17.28
Calcidiscus leptoporus,20,6.56,13.29
Calcidiscus leptoporus,20,6.59,14.04
Calcidiscus leptoporus,18,7.00,12.09
Calcidiscus leptoporus,25,7.07,15.15
Calcidiscus leptoporus,16,6.95,13.10
Calcidiscus leptoporus,23,7.16,14.50
Calcidiscus leptoporus,20,6.92,13.62
Calcidiscus leptoporus,24,6.27,15.19
Calcidiscus leptoporus,23,7.20,16.07
Calcidiscus leptoporus,24,6.07,14.80
Calcidiscus leptoporus,24,7.08,15.99
Calcidiscus leptoporus,24,6.87,14.70
Calcidiscus leptoporus,21,7.30,13.77
Calcidiscus leptoporus,15,6.93,12.10
Calcidiscus leptoporus,18,6.50,11.95
Calcidiscus leptoporus,20,7.29,13.91
Calcidiscus leptoporus,26,6.88,16.00
Calcidiscus leptoporus,24,7.08,15.88
Calcidiscus leptoporus,25,7.04,13.86
Calcidiscus leptoporus,19,6.50,13.38
Calcidiscus leptoporus,22,6.02,14.39
Calcidiscus leptoporus,33,6.56,17.23
Calcidiscus leptoporus,22,7.61,14.18
Calcidiscus leptoporus,22,6.40,14.89
Calcidiscus leptoporus,15,6.79,12.83
Calcidiscus leptoporus,20,6.64,14.13
Calcidiscus leptoporus,23,7.92,15.27
Calcidiscus leptoporus,17,6.96,12.81
Calcidiscus leptoporus,27,6.34,16.72
Calcidiscus leptoporus,21,6.86,13.82
Calcidiscus leptoporus,26,6.25,15.73
Calcidiscus leptoporus,26,6.11,16.24
Calcidiscus leptoporus,23,6.78,15.26
Calcidiscus leptoporus,20,6.13,13.16
Calcidiscus leptoporus,18,6.46,11.96
Calcidiscus leptoporus,22,7.40,16.32
Calcidiscus leptoporus,26,8.07,15.19
Calcidiscus leptoporus,18,7.10,13.19
Calcidiscus leptoporus,23,7.02,15.10
Calcidiscus leptoporus,29,7.58,13.18
Calcidiscus leptoporus,20,6.84,13.30
Calcidiscus leptoporus,26,7.03,15.59
Calcidiscus leptoporus,28,7.34,16.02
Calcidiscus leptoporus,19,6.64,14.42
Calcidiscus leptoporus,21,6.91,14.45
Calcidiscus leptoporus,22,6.26,14.43
Calcidiscus leptoporus,35,7.16,16.50
Calcidiscus leptoporus,28,7.84,16.22
Calcidiscus leptoporus,21,6.57,14.95
Calcidiscus leptoporus,25,7.29,15.63
Calcidiscus leptoporus,16,6.31,11.17
Calcidiscus leptoporus,25,6.38,16.97
Calcidiscus leptoporus,21,7.84,15.94
Calcidiscus leptoporus,22,6.67,15.04
Calcidiscus leptoporus,25,6.03,14.43
Calcidiscus leptoporus,17,5.88,12.44
Calcidiscus leptoporus,20,6.35,14.28
Calcidiscus leptoporus,23,6.36,13.91
Calcidiscus leptoporus,25,6.18,15.97
Calcidiscus leptoporus,23,7.80,16.49
Calcidiscus leptoporus,25,8.03,14.29
Calcidiscus leptoporus,21,5.71,14.15
Calcidiscus leptoporus,25,7.97,15.47
