species,CN,CL,CD
Calcidiscus leptoporus,22,7.76,14.26
Calcidiscus leptoporus,23,7.37,14.00
Calcidiscus leptoporus,22,5.94,14.40
Calcidiscus leptoporus,19,6.27,12.41
Calcidiscus leptoporus,20,6.89,12.99
Calcidiscus leptoporus,24,7.15,14.56
Calcidiscus leptoporus,20,7.06,12.63
Calcidiscus leptoporus,19,7.72,12.77
Calcidiscus leptoporus,23,6.49,11.63
Calcidiscus leptoporus,23,6.64,14.03
Calcidiscus leptoporus,27,6.53,14.65
Calcidiscus leptoporus,19,7.37,12.89
Calcidiscus leptoporus,45,6.38,19.72
Calcidiscus leptoporus,17,5.97,11.01
Calcidiscus leptoporus,28,6.07,13.70
Calcidiscus leptoporus,29,6.64,13.44
Calcidiscus leptoporus,22,6.38,12.38
Calcidiscus leptoporus,24,7.36,12.50
Calcidiscus leptoporus,21,5.88,13.18
Calcidiscus leptoporus,23,6.88,13.66
Calcidiscus leptoporus,21,6.49,14.01
Calcidiscus leptoporus,16,7.18,12.10
Calcidiscus leptoporus,21,5.76,12.51
Calcidiscus leptoporus,16,6.95,11.98
Calcidiscus leptoporus,16,7.21,12.17
Calcidiscus leptoporus,19,7.42,11.92
Calcidiscus leptoporus,19,6.33,11.99
Calcidiscus leptoporus,27,7.29,14.06
Calcidiscus leptoporus,15,6.99,11.49
Calcidiscus leptoporus,34,6.57,18.32
Calcidiscus leptoporus,23,6.09,13.49
Calcidiscus leptoporus,19,7.08,12.37
Calcidiscus leptoporus,16,6.57,11.87
Calcidiscus leptoporus,22,6.61,13.51
Calcidiscus leptoporus,24,6.80,14.79
Calcidiscus leptoporus,18,7.13,12.48
Calcidiscus leptoporus,21,7.40,12.78
Calcidiscus leptoporus,23,6.57,14.17
Calcidiscus leptoporus,24,6.37,14.35
Calcidiscus leptoporus,20,7.29,12.88
Calcidiscus leptoporus,26,6.75,13.45
Calcidiscus leptoporus,23,6.57,14.55
Calcidiscus leptoporus,25,6.00,13.41
Calcidiscus leptoporus,23,7.63,12.92
Calcidiscus leptoporus,24,6.75,13.90
Calcidiscus leptoporus,24,7.39,12.57
Calcidiscus leptoporus,25,7.21,13.82
Calcidiscus leptoporus,24,6.18,14.50
Calcidiscus leptoporus,21,6.69,13.47
Calcidiscus leptoporus,20,6.48,13.74
Calcidiscus leptoporus,24,6.27,12.94
Calcidiscus leptoporus,23,7.24,14.04
Calcidiscus leptoporus,25,6.80,13.84
Calcidiscus leptoporus,23,6.21,13.69
Calcidiscus leptoporus,26,5.88,14.12
Calcidiscus leptoporus,21,7.01,13.52
Calcidiscus leptoporus,20,7.26,13.23
Calcidiscus leptoporus,25,7.88,15.60
Calcidiscus leptoporus,16,6.87,11.56
Calcidiscus leptoporus,20,6.60,11.98
Calcidiscus leptoporus,23,6.60,13.05
Calcidiscus leptoporus,19,6.51,13.33
Calcidiscus leptoporus,23,6.70,14.16
Calcidiscus leptoporus,18,6.10,11.65
Calcidiscus leptoporus,25,6.61,13.89
Calcidiscus leptoporus,17,6.70,11.15
Calcidiscus leptoporus,21,6.57,13.90
Calcidiscus leptoporus,27,6.69,14.64
Calcidiscus leptoporus,23,5.51,12.73
Calcidiscus leptoporus,27,6.91,13.81
Calcidiscus leptoporus,23,6.80,13.98
Calcidiscus leptoporus,20,6.91,12.46
Calcidiscus leptoporus,18,6.37,12.58
Calcidiscus leptoporus,25,7.13,14.70
Calcidiscus leptoporus,16,5.78,11.31
Calcidiscus leptoporus,24,7.30,12.68
Calcidiscus leptoporus,18,7.29,12.58
Calcidiscus leptoporus,31,7.37,14.91
Calcidiscus leptoporus,18,7.53,13.17
Calcidiscus leptoporus,18,5.65,12.36
Calcidiscus leptoporus,28,6.45,14.65
Calcidiscus leptoporus,23,6.10,12.69
Calcidiscus leptoporus,18,6.60,13.05
Calcidiscus leptoporus,26,6.86,13.55
Calcidiscus leptoporus,24,6.54,13.72
Calcidiscus leptoporus,15,6.75,10.97
Calcidiscus leptoporus,21,6.99,12.80
Calcidiscus leptoporus,29,7.58,15.10
Calcidiscus leptoporus,25,7.72,13.34
Calcidiscus leptoporus,20,7.39,12.27
Calcidiscus leptoporus,24,6.54,13.82
Calcidiscus leptoporus,20,7.44,13.13
Calcidiscus leptoporus,27,7.61,14.53
Calcidiscus leptoporus,24,6.87,12.85
Calcidiscus leptoporus,23,5.71,13.07
Calcidiscus leptoporus,18,7.52,12.39
Calcidiscus leptoporus,18,6.27,11.76
Calcidiscus leptoporus,27,6.31,14.23
Calcidiscus leptoporus,21,6.89,12.57
Calcidiscus leptoporus,19,6.32,12.60
Calcidiscus leptoporus,21,6.54,12.11
Calcidiscus leptoporus,27,7.12,13.82
Calcidiscus leptoporus,17,5.37,13.20
Calcidiscus leptoporus,12,6.10,11.30
Calcidiscus leptoporus,13,5.85,10.16
Calcidiscus leptoporus,12,7.54,11.74
Calcidiscus leptoporus,15,7.11,11.44
Calcidiscus leptoporus,20,7.31,15.15
Calcidiscus leptoporus,15,6.09,12.32
Calcidiscus leptoporus,11,6.16,11.06
Calcidiscus leptoporus,14,6.07,11.63
Calcidiscus leptoporus,18,6.31,12.83
Calcidiscus leptoporus,16,6.20,13.16
Calcidiscus leptoporus,14,6.34,11.68
Calcidiscus leptoporus,11,7.21,10.48
Calcidiscus leptoporus,13,6.17,12.66
Calcidiscus leptoporus,14,7.10,11.57
Calcidiscus leptoporus,16,7.02,11.96
Calcidiscus leptoporus,18,6.00,13.61
Calcidiscus leptoporus,20,6.84,13.80
Calcidiscus leptoporus,20,6.43,13.75
Calcidiscus leptoporus,14,7.10,12.28
Calcidiscus leptoporus,14,6.58,11.11
Calcidiscus leptoporus,19,6.31,13.83
Calcidiscus leptoporus,22,5.84,14.29
Calcidiscus leptoporus,20,7.21,13.38
Calcidiscus leptoporus,14,7.65,12.24
Calcidiscus leptoporus,15,7.31,12.96
Calcidiscus leptoporus,15,7.06,13.03
Calcidiscus leptoporus,19,6.67,13.13
Calcidiscus leptoporus,16,6.75,10.80
Calcidiscus leptoporus,13,6.63,11.67
Calcidiscus leptoporus,14,5.93,11.43
Calcidiscus leptoporus,14,5.65,12.44
Calcidiscus leptoporus,10,6.36,12.10
Calcidiscus leptoporus,13,6.11,10.88
Calcidiscus leptoporus,21,6.23,12.84
Calcidiscus leptoporus,16,8.57,12.96
Calcidiscus leptoporus,12,6.48,11.92
Calcidiscus leptoporus,15,7.39,12.74
Calcidiscus leptoporus,17,6.25,11.94
Calcidiscus leptoporus,17,6.60,13.82
Calcidiscus leptoporus,22,6.08,14.43
Calcidiscus leptoporus,17,6.86,12.83
Calcidiscus leptoporus,18,6.05,11.82
Calcidiscus leptoporus,16,6.83,13.81
Calcidiscus leptoporus,17,6.47,13.54
Calcidiscus leptoporus,15,7.06,12.22
Calcidiscus leptoporus,18,6.52,11.77
Calcidiscus leptoporus,22,7.47,13.45
Calcidiscus leptoporus,15,8.44,13.01
Calcidiscus leptoporus,14,6.70,11.65
Calcidiscus leptoporus,14,6.44,11.51
Calcidiscus leptoporus,10,6.12,11.58
Calcidiscus leptoporus,16,6.48,13.19
Calcidiscus leptoporus,18,6.12,12.85
Calcidiscus leptoporus,15,6.60,10.93
Calcidiscus leptoporus,18,5.64,14.00
Calcidiscus leptoporus,15,6.28,11.71
Calcidiscus leptoporus,18,6.43,12.47
Calcidiscus leptoporus,15,6.99,10.71
Calcidiscus leptoporus,15,6.31,11.56
Calcidiscus leptoporus,17,6.03,11.55
Calcidiscus leptoporus,17,6.18,12.30
Calcidiscus leptoporus,17,5.88,13.94
Calcidiscus leptoporus,16,6.63,13.37
Calcidiscus leptoporus,13,6.84,11.33
Calcidiscus leptoporus,21,7.00,13.05
Calcidiscus leptoporus,15,6.24,11.82
Calcidiscus leptoporus,17,7.02,12.68
Calcidiscus leptoporus,26,7.66,13.28
Calcidiscus leptoporus,22,7.38,13.22
Calcidiscus leptoporus,22,6.54,13.11
Calcidiscus leptoporus,17,6.54,12.31
Calcidiscus leptoporus,15,6.83,12.36
Calcidiscus leptoporus,24,6.41,13.17
Calcidiscus leptoporus,16,6.97,11.94
Calcidiscus leptoporus,18,6.96,12.77
Calcidiscus leptoporus,21,6.76,14.17
Calcidiscus leptoporus,16,7.12,12.53
Calcidiscus leptoporus,22,7.07,13.87
Calcidiscus leptoporus,19,6.41,12.74
Calcidiscus leptoporus,22,6.75,13.45
Calcidiscus leptoporus,16,6.66,13.58
Calcidiscus leptoporus,15,7.14,11.87
Calcidiscus leptoporus,21,6.12,14.27
Calcidiscus leptoporus,17,6.45,11.98
Calcidiscus leptoporus,18,6.65,12.85
Calcidiscus leptoporus,18,6.30,13.10
Calcidiscus leptoporus,19,6.55,13.01
Calcidiscus leptoporus,15,6.58,11.66
Calcidiscus leptoporus,19,5.77,12.69
Calcidiscus leptoporus,19,6.01,12.97
Calcidiscus leptoporus,26,5.97,14.95
Calcidiscus leptoporus,24,6.09,14.37
Calcidiscus leptoporus,16,5.91,11.72
Calcidiscus leptoporus,16,6.10,11.95
Calcidiscus leptoporus,18,6.25,12.08
Calcidiscus leptoporus,17,6.26,11.75
Calcidiscus leptoporus,19,6.56,13.69
Calcidiscus leptoporus,18,6.92,11.59
Calcidiscus leptoporus,18,6.16,12.22
Calcidiscus leptoporus,20,6.54,13.60
Calcidiscus leptoporus,13,6.70,11.96
Calcidiscus leptoporus,18,6.20,12.57
Calcidiscus leptoporus,15,6.72,11.56
Calcidiscus leptoporus,20,5.81,13.26
Calcidiscus leptoporus,17,6.41,12.89
Calcidiscus leptoporus,17,6.84,13.00
Calcidiscus leptoporus,19,6.24,14.09
Calcidiscus leptoporus,15,6.53,11.91
Calcidiscus leptoporus,23,6.37,14.19
Calcidiscus leptoporus,16,6.11,11.90
Calcidiscus leptoporus,15,6.00,11.86
Calcidiscus leptoporus,20,6.52,13.54
Calcidiscus leptoporus,19,6.55,12.57
Calcidiscus leptoporus,17,6.52,12.35
Calcidiscus leptoporus,21,6.56,13.64
Calcidiscus leptoporus,18,7.29,12.55
Calcidiscus leptoporus,16,6.14,12.41
Calcidiscus leptoporus,15,6.72,11.07
Calcidiscus leptoporus,13,6.40,11.27
Calcidiscus leptoporus,25,6.58,14.02
Calcidiscus leptoporus,17,5.79,12.59
Calcidiscus leptoporus,16,6.57,13.01
Calcidiscus leptoporus,20,6.85,13.01
Calcidiscus leptoporus,17,6.66,12.49
Calcidiscus leptoporus,15,7.25,11.71
Calcidiscus leptoporus,20,6.42,14.18
Calcidiscus leptoporus,17,6.92,14.56
Calcidiscus leptoporus,21,6.74,15.47
Calcidiscus leptoporus,18,6.15,12.33
Calcidiscus leptoporus,18,6.86,12.77
Calcidiscus leptoporus,15,6.94,11.06
Calcidiscus leptoporus,19,7.70,12.72
Calcidiscus leptoporus,25,5.97,12.97
Calcidiscus leptoporus,18,6.11,12.16
Calcidiscus leptoporus,20,6.27,13.81
