species,CN,CL
Calcidiscus quadriperforatus,16,8.68
Calcidiscus quadriperforatus,26,10.12
Calcidiscus quadriperforatus,20,9.28
Calcidiscus quadriperforatus,23,8.92
Calcidiscus quadriperforatus,19,9.26
Calcidiscus quadriperforatus,16,8.06
Calcidiscus quadriperforatus,15,9.36
Calcidiscus quadriperforatus,26,10.85
Calcidiscus quadriperforatus,22,11.11
Calcidiscus quadriperforatus,15,8.51
Calcidiscus quadriperforatus,23,9.20
Calcidiscus quadriperforatus,18,10.05
Calcidiscus quadriperforatus,19,9.26
Calcidiscus quadriperforatus,23,10.17
Calcidiscus quadriperforatus,20,8.52
Calcidiscus quadriperforatus,18,8.10
Calcidiscus quadriperforatus,18,8.60
Calcidiscus quadriperforatus,14,9.16
Calcidiscus quadriperforatus,16,10.98
Calcidiscus quadriperforatus,16,9.64
Calcidiscus quadriperforatus,17,10.06
Calcidiscus quadriperforatus,15,9.71
Calcidiscus quadriperforatus,22,10.13
Calcidiscus quadriperforatus,20,9.24
Calcidiscus quadriperforatus,22,8.88
Calcidiscus quadriperforatus,21,8.20
Calcidiscus quadriperforatus,20,9.03
Calcidiscus quadriperforatus,21,10.22
Calcidiscus quadriperforatus,18,9.55
Calcidiscus quadriperforatus,20,9.26
Calcidiscus quadriperforatus,18,9.51
Calcidiscus quadriperforatus,22,9.26
Calcidiscus quadriperforatus,15,10.33
Calcidiscus quadriperforatus,20,9.90
Calcidiscus quadriperforatus,24,9.59
Calcidiscus quadriperforatus,21,9.21
Calcidiscus quadriperforatus,14,8.56
Calcidiscus quadriperforatus,24,9.25
Calcidiscus quadriperforatus,23,9.23
Calcidiscus quadriperforatus,21,10.40
Calcidiscus quadriperforatus,22,10.10
Calcidiscus quadriperforatus,23,9.15
Calcidiscus quadriperforatus,18,9.06
Calcidiscus quadriperforatus,18,9.36
Calcidiscus quadriperforatus,18,8.27
Calcidiscus quadriperforatus,19,9.36
Calcidiscus quadriperforatus,19,8.03
Calcidiscus quadriperforatus,17,9.06
Calcidiscus quadriperforatus,21,9.27
Calcidiscus quadriperforatus,24,8.85
Calcidiscus quadriperforatus,27,9.32
Calcidiscus quadriperforatus,27,9.21
Calcidiscus quadriperforatus,24,8.80
Calcidiscus quadriperforatus,23,10.18
Calcidiscus quadriperforatus,19,9.82
Calcidiscus quadriperforatus,21,8.89
Calcidiscus quadriperforatus,20,10.74
Calcidiscus quadriperforatus,23,8.86
Calcidiscus quadriperforatus,14,8.37
Calcidiscus quadriperforatus,13,8.83
Calcidiscus quadriperforatus,17,7.75
Calcidiscus quadriperforatus,13,8.96
Calcidiscus quadriperforatus,17,10.63
Calcidiscus quadriperforatus,15,9.71
Calcidiscus quadriperforatus,18,11.37
Calcidiscus quadriperforatus,14,8.76
Calcidiscus quadriperforatus,15,10.34
Calcidiscus quadriperforatus,17,9.19
Calcidiscus quadriperforatus,13,9.35
Calcidiscus quadriperforatus,15,8.89
Calcidiscus quadriperforatus,16,9.88
Calcidiscus quadriperforatus,14,8.06
Calcidiscus quadriperforatus,16,8.30
Calcidiscus quadriperforatus,22,8.58
Calcidiscus quadriperforatus,13,10.42
Calcidiscus quadriperforatus,20,9.84
Calcidiscus quadriperforatus,23,9.91
Calcidiscus quadriperforatus,17,9.20
Calcidiscus quadriperforatus,18,10.22
Calcidiscus quadriperforatus,11,8.94
Calcidiscus quadriperforatus,20,9.06
Calcidiscus quadriperforatus,17,9.62
Calcidiscus quadriperforatus,17,10.45
Calcidiscus quadriperforatus,19,8.76
Calcidiscus quadriperforatus,18,9.23
Calcidiscus quadriperforatus,19,9.34
Calcidiscus quadriperforatus,19,8.51
Calcidiscus quadriperforatus,15,9.53
Calcidiscus quadriperforatus,15,8.50
Calcidiscus quadriperforatus,15,9.55
Calcidiscus quadriperforatus,19,9.06
Calcidiscus quadriperforatus,21,9.33
Calcidiscus quadriperforatus,16,8.54
Calcidiscus quadriperforatus,20,9.11
Calcidiscus quadriperforatus,19,8.64
Calcidiscus quadriperforatus,16,9.55
Calcidiscus quadriperforatus,13,8.92
Calcidiscus quadriperforatus,20,8.52
Calcidiscus quadriperforatus,11,9.73
Calcidiscus quadriperforatus,12,8.58
Calcidiscus quadriperforatus,20,8.69
Calcidiscus quadriperforatus,16,7.76
Calcidiscus quadriperforatus,20,10.03
Calcidiscus quadriperforatus,20,9.33
Calcidiscus quadriperforatus,17,9.92
Calcidiscus quadriperforatus,22,9.33
Calcidiscus quadriperforatus,19,9.51
Calcidiscus quadriperforatus,14,9.23
Calcidiscus quadriperforatus,19,8.58
Calcidiscus quadriperforatus,17,9.97
Calcidiscus quadriperforatus,15,9.75
Calcidiscus quadriperforatus,21,9.51
Calcidiscus quadriperforatus,17,9.78
Calcidiscus quadriperforatus,14,8.87
Calcidiscus quadriperforatus,16,8.54
Calcidiscus quadriperforatus,13,8.41
Calcidiscus quadriperforatus,14,9.12
Calcidiscus quadriperforatus,23,9.11
Calcidiscus quadriperforatus,14,7.78
Calcidiscus quadriperforatus,14,9.02
Calcidiscus quadriperforatus,17,9.07
Calcidiscus quadriperforatus,14,8.90
Calcidiscus quadriperforatus,17,8.54
Calcidiscus quadriperforatus,13,10.40
Calcidiscus quadriperforatus,16,10.15
Calcidiscus quadriperforatus,17,8.81
Calcidiscus quadriperforatus,17,9.44
Calcidiscus quadriperforatus,18,8.65
Calcidiscus quadriperforatus,16,9.06
Calcidiscus quadriperforatus,17,9.14
Calcidiscus quadriperforatus,16,9.87
Calcidiscus quadriperforatus,16,8.65
Calcidiscus quadriperforatus,17,8.35
Calcidiscus quadriperforatus,15,8.36
Calcidiscus quadriperforatus,27,9.53
Calcidiscus quadriperforatus,16,8.27
Calcidiscus quadriperforatus,15,9.02
Calcidiscus quadriperforatus,16,9.42
Calcidiscus quadriperforatus,14,10.08
Calcidiscus quadriperforatus,16,10.15
Calcidiscus quadriperforatus,16,9.77
Calcidiscus quadriperforatus,14,8.39
Calcidiscus quadriperforatus,16,9.57
Calcidiscus quadriperforatus,15,7.63
Calcidiscus quadriperforatus,27,9.51
Calcidiscus quadriperforatus,15,9.67
Calcidiscus quadriperforatus,17,10.43
Calcidiscus quadriperforatus,24,9.78
Calcidiscus quadriperforatus,23,8.81
Calcidiscus quadriperforatus,15,8.84
Calcidiscus quadriperforatus,14,9.11
Calcidiscus quadriperforatus,18,8.41
Calcidiscus quadriperforatus,16,10.57
Calcidiscus quadriperforatus,19,8.43
Calcidiscus quadriperforatus,18,8.62
Calcidiscus quadriperforatus,15,8.39
Calcidiscus quadriperforatus,18,8.67
Calcidiscus quadriperforatus,18,9.78
Calcidiscus quadriperforatus,15,8.70
Calcidiscus quadriperforatus,19,8.68
Calcidiscus quadriperforatus,16,8.58
Calcidiscus quadriperforatus,19,9.31
Calcidiscus quadriperforatus,14,8.89
Calcidiscus quadriperforatus,16,8.71
Calcidiscus quadriperforatus,16,9.29
Calcidiscus quadriperforatus,16,9.60
Calcidiscus quadriperforatus,18,9.24
Calcidiscus quadriperforatus,18,8.89
Calcidiscus quadriperforatus,22,8.96
Calcidiscus quadriperforatus,18,8.96
Calcidiscus quadriperforatus,19,9.08
Calcidiscus quadriperforatus,13,8.18
Calcidiscus quadriperforatus,17,9.81
Calcidiscus quadriperforatus,19,9.78
Calcidiscus quadriperforatus,16,9.58
Calcidiscus quadriperforatus,16,8.52
Calcidiscus quadriperforatus,14,8.15
Calcidiscus quadriperforatus,23,8.86
Calcidiscus quadriperforatus,18,8.93
Calcidiscus quadriperforatus,16,8.41
Calcidiscus quadriperforatus,19,8.38
Calcidiscus quadriperforatus,22,9.13
Calcidiscus quadriperforatus,19,9.13
Calcidiscus quadriperforatus,21,7.66
Calcidiscus quadriperforatus,18,8.84
Calcidiscus quadriperforatus,21,10.05
Calcidiscus quadriperforatus,20,9.03
Calcidiscus quadriperforatus,19,9.93
Calcidiscus quadriperforatus,21,8.84
Calcidiscus quadriperforatus,18,8.15
Calcidiscus quadriperforatus,17,9.49
Calcidiscus quadriperforatus,19,8.86
Calcidiscus quadriperforatus,24,9.49
Calcidiscus quadriperforatus,16,9.73
Calcidiscus quadriperforatus,13,9.37
Calcidiscus quadriperforatus,23,9.83
Calcidiscus quadriperforatus,16,9.57
Calcidiscus quadriperforatus,18,8.16
Calcidiscus quadriperforatus,25,9.49
Calcidiscus quadriperforatus,17,8.61
Calcidiscus quadriperforatus,17,10.23
Calcidiscus quadriperforatus,17,9.30
Calcidiscus quadriperforatus,18,9.77
Calcidiscus quadriperforatus,17,8.60
Calcidiscus quadriperforatus,26,9.97
Calcidiscus quadriperforatus,24,9.38
Calcidiscus quadriperforatus,13,9.11
Calcidiscus quadriperforatus,18,9.83
Calcidiscus quadriperforatus,20,9.71
Calcidiscus quadriperforatus,23,9.21
Calcidiscus quadriperforatus,20,9.13
Calcidiscus quadriperforatus,24,8.67
Calcidiscus quadriperforatus,21,9.06
Calcidiscus quadriperforatus,17,8.56
Calcidiscus quadriperforatus,20,9.76
Calcidiscus quadriperforatus,26,8.49
Calcidiscus quadriperforatus,21,8.49
Calcidiscus quadriperforatus,16,8.40
Calcidiscus quadriperforatus,16,9.28
Calcidiscus quadriperforatus,17,9.35
Calcidiscus quadriperforatus,21,9.37
Calcidiscus quadriperforatus,24,8.99
