species,CN,CL
Coccolithus braarudii,11,12.86
Coccolithus braarudii,11,12.95
Coccolithus braarudii,12,14.49
Coccolithus braarudii,9,13.9
Coccolithus braarudii,9,13.03
Coccolithus braarudii,11,14.81
Coccolithus braarudii,18,12.4
Coccolithus braarudii,7,9.68
Coccolithus braarudii,10,13.16
Coccolithus braarudii,11,12.42
Coccolithus braarudii,12,11.14
Coccolithus braarudii,16,14.47
Coccolithus braarudii,12,14.32
Coccolithus braarudii,14,15.02
Coccolithus braarudii,12,15
Coccolithus braarudii,10,12.19
Coccolithus braarudii,10,11.33
Coccolithus braarudii,13,14.72
Coccolithus braarudii,12,13.6
Coccolithus braarudii,12,12.86
Coccolithus braarudii,8,13.69
Coccolithus braarudii,13,11.79
Coccolithus braarudii,11,12.42
Coccolithus braarudii,15,15.23
Coccolithus braarudii,12,12.57
Coccolithus braarudii,11,13.77
Coccolithus braarudii,13,10.97
Coccolithus braarudii,16,11.07
Coccolithus braarudii,9,12.51
Coccolithus braarudii,12,11.45
Coccolithus braarudii,10,12.4
Coccolithus braarudii,12,9.64
Coccolithus braarudii,7,13.5
Coccolithus braarudii,10,11.22
Coccolithus braarudii,15,8.01
Coccolithus braarudii,11,12.7
Coccolithus braarudii,11,13.35
Coccolithus braarudii,10,13.33
Coccolithus braarudii,13,11.56
Coccolithus braarudii,15,11.62
Coccolithus braarudii,18,14.45
Coccolithus braarudii,11,12.4
Coccolithus braarudii,12,14.57
Coccolithus braarudii,13,14.11
Coccolithus braarudii,11,11.98
Coccolithus braarudii,11,10.14
Coccolithus braarudii,15,11.85
Coccolithus braarudii,12,13.81
Coccolithus braarudii,12,14.72
Coccolithus braarudii,16,14.93
Coccolithus braarudii,10,14.28
Coccolithus braarudii,11,12.32
Coccolithus braarudii,10,13.69
Coccolithus braarudii,9,10
Coccolithus braarudii,12,11.75
Coccolithus braarudii,9,14.17
Coccolithus braarudii,11,10.27
Coccolithus braarudii,9,12.61
Coccolithus braarudii,11,13.54
Coccolithus braarudii,12,13.16
Coccolithus braarudii,11,10.92
Coccolithus braarudii,12,11.54
Coccolithus braarudii,12,8.9
Coccolithus braarudii,14,10.78
Coccolithus braarudii,13,10.33
Coccolithus braarudii,12,11.14
Coccolithus braarudii,10,11.83
Coccolithus braarudii,13,12.38
Coccolithus braarudii,10,10.38
Coccolithus braarudii,19,12.17
Coccolithus braarudii,10,8.14
Coccolithus braarudii,14,9.49
Coccolithus braarudii,13,11.3
Coccolithus braarudii,15,8.98
Coccolithus braarudii,9,11.51
Coccolithus braarudii,11,12.95
Coccolithus braarudii,12,13.01
Coccolithus braarudii,8,10.95
Coccolithus braarudii,15,11.22
Coccolithus braarudii,10,12.13
Coccolithus braarudii,11,11.75
Coccolithus braarudii,9,7.87
Coccolithus braarudii,14,12.21
Coccolithus braarudii,9,13.08
Coccolithus braarudii,15,10.69
Coccolithus braarudii,10,12.86
Coccolithus braarudii,15,12.74
Coccolithus braarudii,16,14.62
Coccolithus braarudii,10,11.33
Coccolithus braarudii,15,12.59
Coccolithus braarudii,9,14.85
Coccolithus braarudii,11,12.93
Coccolithus braarudii,16,14.13
Coccolithus braarudii,8,14.72
Coccolithus braarudii,10,13.08
Coccolithus braarudii,10,12.23
