species,CN,CL
Helicosphaera carteri,18,8.24
Helicosphaera carteri,20,8.97
Helicosphaera carteri,15,8.26
Helicosphaera carteri,12,9.38
Helicosphaera carteri,19,7.89
Helicosphaera carteri,17,9.93
Helicosphaera carteri,12,8.39
Helicosphaera carteri,25,8.81
Helicosphaera carteri,12,8.23
Helicosphaera carteri,17,8.34
Helicosphaera carteri,20,8.37
Helicosphaera carteri,22,9.38
Helicosphaera carteri,11,8.73
Helicosphaera carteri,16,9.47
Helicosphaera carteri,12,9.32
Helicosphaera carteri,15,7.80
Helicosphaera carteri,15,10.28
Helicosphaera carteri,19,9.71
Helicosphaera carteri,16,7.89
Helicosphaera carteri,15,8.15
Helicosphaera carteri,18,9.37
Helicosphaera carteri,14,9.65
Helicosphaera carteri,20,9.62
Helicosphaera carteri,19,9.89
Helicosphaera carteri,21,8.65
Helicosphaera carteri,14,8.39
Helicosphaera carteri,11,8.10
Helicosphaera carteri,18,8.71
Helicosphaera carteri,12,8.82
Helicosphaera carteri,10,9.26
Helicosphaera carteri,12,8.80
Helicosphaera carteri,14,9.10
Helicosphaera carteri,15,8.63
Helicosphaera carteri,16,8.44
Helicosphaera carteri,15,8.78
Helicosphaera carteri,13,9.40
Helicosphaera carteri,13,8.13
Helicosphaera carteri,13,8.41
Helicosphaera carteri,16,9.43
Helicosphaera carteri,9,8.81
Helicosphaera carteri,16,8.23
Helicosphaera carteri,13,8.46
Helicosphaera carteri,19,8.53
Helicosphaera carteri,13,9.15
Helicosphaera carteri,15,8.85
Helicosphaera carteri,15,7.89
Helicosphaera carteri,12,8.26
Helicosphaera carteri,14,8.91
Helicosphaera carteri,9,8.75
Helicosphaera carteri,17,8.17
Helicosphaera carteri,8,8.50
Helicosphaera carteri,19,8.46
Helicosphaera carteri,12,9.75
Helicosphaera carteri,15,9.15
Helicosphaera carteri,12,10.13
Helicosphaera carteri,9,9.61
Helicosphaera carteri,13,9.36
Helicosphaera carteri,15,9.39
Helicosphaera carteri,14,8.79
Helicosphaera carteri,16,8.56
Helicosphaera carteri,15,8.97
Helicosphaera carteri,14,9.14
Helicosphaera carteri,12,8.33
Helicosphaera carteri,16,7.23
Helicosphaera carteri,16,8.81
Helicosphaera carteri,16,7.84
Helicosphaera carteri,18,8.25
Helicosphaera carteri,13,8.93
Helicosphaera carteri,16,9.02
Helicosphaera carteri,16,9.88
Helicosphaera carteri,12,8.54
Helicosphaera carteri,14,7.68
Helicosphaera carteri,14,8.07
Helicosphaera carteri,10,7.97
Helicosphaera carteri,13,7.88
Helicosphaera carteri,12,9.19
Helicosphaera carteri,13,9.50
Helicosphaera carteri,16,8.55
Helicosphaera carteri,21,9.27
Helicosphaera carteri,13,9.06
Helicosphaera carteri,11,9.36
Helicosphaera carteri,11,8.69
Helicosphaera carteri,14,9.36
Helicosphaera carteri,21,9.31
Helicosphaera carteri,6,8.94
Helicosphaera carteri,9,8.51
Helicosphaera carteri,13,8.92
Helicosphaera carteri,23,8.80
Helicosphaera carteri,11,8.35
Helicosphaera carteri,22,9.07
Helicosphaera carteri,12,9.25
Helicosphaera carteri,21,8.91
Helicosphaera carteri,10,7.90
Helicosphaera carteri,14,8.57
Helicosphaera carteri,15,8.79
Helicosphaera carteri,14,9.46
Helicosphaera carteri,11,8.32
Helicosphaera carteri,17,9.20
Helicosphaera carteri,12,8.22
Helicosphaera carteri,15,8.09
Helicosphaera carteri,20,9.22
Helicosphaera carteri,16,8.99
Helicosphaera carteri,19,9.00
Helicosphaera carteri,13,9.33
Helicosphaera carteri,18,8.75
Helicosphaera carteri,14,8.91
Helicosphaera carteri,14,8.07
Helicosphaera carteri,18,9.19
Helicosphaera carteri,17,9.75
Helicosphaera carteri,12,9.17
Helicosphaera carteri,16,10.76
Helicosphaera carteri,17,8.52
Helicosphaera carteri,12,8.83
Helicosphaera carteri,11,9.21
Helicosphaera carteri,13,8.05
Helicosphaera carteri,14,7.87
Helicosphaera carteri,16,9.17
