species,mean,sd,ref,reference,method,n
Gladiolithus flabellatus,67.2,45.6,guerreiro2021 and yang2003,devries2024,literature morphometrics,1
undefined Pontosphaera,588.0,264.0,guerreiro2021 and yang2003,devries2024,literature morphometrics,1
