species,mean,sd
Emiliania huxleyi,36,0.6
Emiliania huxleyi,44,0.5
Emiliania huxleyi,43,1.3
Emiliania huxleyi,46,0.5
Emiliania huxleyi,74,1.3
Emiliania huxleyi,45,0.6
