species,min,max,mean
Syracosphaera schilleri ,191,802,382
Syracosphaera spinosa,58,97,76
Syracosphaera subsalsa,443,1026,695
Syracosphaera tumularis ,113,905,382
Thoracosphaera heimii ,195,226,210
Turrilithus latericioides ,58,151,97
Umbellosphaera sp.,101,422,224
Umbellosphaera irregularis,113,382,221
Umbellosphaera tenuis ,88,463,226
Umbilicosphaera sp. ,84,3825,929
Umbilicosphaera foliosa ,113,660,310
Umbilicosphaera hulburtiana,69,1824,545
Umbilicosphaera sibogae,69,8992,1931
Zygosphaera sp.,32,163,80
Zygosphaera amoena ,14,39,24
Zygosphaera hellenica ,58,382,172
Zygosphaera marsilii,24,69,43
