species,mean,sd,method,reference
Syracosphaera halldalii,796.0,,literature morphometrics,villiot2021b
Syracosphaera hastata,116.0,,literature morphometrics,villiot2021b
Syracosphaera histrica,1596.0,,literature morphometrics,villiot2021b
Syracosphaera histrica HOL,1050.0,,literature morphometrics,villiot2021b
Syracosphaera isselii HOL,583.0,,literature morphometrics,villiot2021b
Syracosphaera lafourcadii HOL,19.0,,literature morphometrics,villiot2021b
Syracosphaera leptolepsis,165.0,,literature morphometrics,villiot2021b
Syracosphaera magnaghii HOL,82.0,,literature morphometrics,villiot2021b
Syracosphaera marginiporata,124.0,,literature morphometrics,villiot2021b
Syracosphaera maxima,16366.0,,literature morphometrics,villiot2021b
Syracosphaera mediterranea,1048.0,,literature morphometrics,villiot2021b
Syracosphaera mediterranea HOL,716.0,,literature morphometrics,villiot2021b
Syracosphaera molischii,213.0,,literature morphometrics,villiot2021b
Syracosphaera molischii HOL,82.0,,literature morphometrics,villiot2021b
Syracosphaera nana HOL,180.0,,literature morphometrics,villiot2021b
Syracosphaera neapolitana,76.0,,literature morphometrics,villiot2021b
Syracosphaera nodosa,97.0,,literature morphometrics,villiot2021b
Syracosphaera noroitica,796.0,,literature morphometrics,villiot2021b
Syracosphaera orbiculus,212.0,,literature morphometrics,villiot2021b
Syracosphaera ossa,87.0,,literature morphometrics,villiot2021b
Syracosphaera periperforata HOL,78.0,,literature morphometrics,villiot2021b
Syracosphaera prolongata,23.0,,literature morphometrics,villiot2021b
Syracosphaera protrudens,442.0,,literature morphometrics,villiot2021b
Syracosphaera pulchra,17.0,,literature morphometrics,villiot2021b
Syracosphaera pulchra HOL,910.5,,literature morphometrics,villiot2021b
Syracosphaera reniformis,29.0,,literature morphometrics,villiot2021b
Syracosphaera rotula,64.0,,literature morphometrics,villiot2021b
Syracosphaera strigilis HOL,43.0,,literature morphometrics,villiot2021b
Syracosphaera tumularis,2026.0,,literature morphometrics,villiot2021b
Tetralithoides quadrilaminata,3942.0,,literature morphometrics,villiot2021b
Turrilithus latericioides,268.0,,literature morphometrics,villiot2021b
Umbellosphaera irregularis,200.0,,literature morphometrics,villiot2021b
Umbellosphaera tenuis,322.0,,literature morphometrics,villiot2021b
Umbilicosphaera anulus,2226.0,,literature morphometrics,villiot2021b
Umbilicosphaera hulburtiana,168.0,,literature morphometrics,villiot2021b
Umbilicosphaera sibogae,7421.0,,literature morphometrics,villiot2021b
Zygosphaera amoena,60.0,,literature morphometrics,villiot2021b
undefined Acanthoica,40.0,,literature morphometrics,villiot2021b
undefined Alisphaera,150.0,,literature morphometrics,villiot2021b
undefined Calciopappus,817.0,,literature morphometrics,villiot2021b
undefined Caneosphaera,340.0,,literature morphometrics,villiot2021b
undefined Ceratolithus,244.0,,literature morphometrics,villiot2021b
undefined Cyrtosphaera,123.0,,literature morphometrics,villiot2021b
undefined Gephyrocapsa,28.0,,literature morphometrics,villiot2021b
undefined Helicosphaera,248.0,,literature morphometrics,villiot2021b
undefined Michaelsarsia,423.0,,literature morphometrics,villiot2021b
undefined Ophiaster,65.0,,literature morphometrics,villiot2021b
undefined Palusphaera,133.0,,literature morphometrics,villiot2021b
undefined Pappomonas,133.0,,literature morphometrics,villiot2021b
undefined Papposphaera,27.0,,literature morphometrics,villiot2021b
undefined Polycrater,1023.0,,literature morphometrics,villiot2021b
undefined Sphaerocalyptra,18.0,,literature morphometrics,villiot2021b
undefined Syracosphaera,420.0,,literature morphometrics,villiot2021b
