species,mean,sd,method,reference
Papposphaera sagittifera,24.0,12.75,literature coccosphere,obrien2013b
Papposphaera sp.,23.0,9.75,literature coccosphere,obrien2013b
Picarola margalefii,82.0,42.75,literature coccosphere,obrien2013b
Pontosphaera discopora,1288.0,481.75,literature coccosphere,obrien2013b
Pontosphaera echinofera,391.0,156.5,literature coccosphere,obrien2013b
Pontosphaera haeckelli,248.0,57.75,literature coccosphere,obrien2013b
Pontosphaera inermis,58.0,10.75,literature coccosphere,obrien2013b
Pontosphaera nigra,560.0,63.0,literature coccosphere,obrien2013b
Pontosphaera ovalis,19.0,2.5,literature coccosphere,obrien2013b
Pontosphaera sp.,551.0,198.75,literature coccosphere,obrien2013b
Pontosphaera stagnicola,556.0,148.75,literature coccosphere,obrien2013b
Pontosphaera syracusana,1288.0,668.0,literature coccosphere,obrien2013b
Poricalyptra sp.,103.0,39.25,literature coccosphere,obrien2013b
Poritectolithus poritectus,82.0,33.0,literature coccosphere,obrien2013b
Poritectolithus sp.,126.0,68.75,literature coccosphere,obrien2013b
Reticulofenestra sessilis,64.0,26.75,literature coccosphere,obrien2013b
Rhabdosphaera clavigera,455.5,17.375,literature coccosphere,obrien2013b
Rhabdosphaera hispida,151.0,20.5,literature coccosphere,obrien2013b
Rhabdosphaera sp.,223.0,12.5,literature coccosphere,obrien2013b
Rhabdosphaera xiphos,14.0,4.25,literature coccosphere,obrien2013b
Scyphosphaera apsteinii,1124.0,276.75,literature coccosphere,obrien2013b
Scyphosphaera apsteinii HOL,382.0,152.75,literature coccosphere,obrien2013b
Solisphaera blagnacensis,48.0,18.25,literature coccosphere,obrien2013b
Solisphaera emidasius,31.0,11.0,literature coccosphere,obrien2013b
Solisphaera sp.,39.0,14.75,literature coccosphere,obrien2013b
Sphaerocalyptra adenensis,39.0,12.5,literature coccosphere,obrien2013b
Sphaerocalyptra quadridentata,39.0,17.0,literature coccosphere,obrien2013b
Syracosphaera ampliora,56.0,25.0,literature coccosphere,obrien2013b
Syracosphaera anthos,113.0,52.25,literature coccosphere,obrien2013b
Syracosphaera anthos HOL,211.0,77.375,literature coccosphere,obrien2013b
Syracosphaera arethusae,131.0,89.5,literature coccosphere,obrien2013b
Syracosphaera aurisinae HOL,97.0,39.0,literature coccosphere,obrien2013b
Syracosphaera bannockii,24.0,6.25,literature coccosphere,obrien2013b
Syracosphaera borealis,45.0,7.75,literature coccosphere,obrien2013b
Syracosphaera brandtii,278.0,46.75,literature coccosphere,obrien2013b
Syracosphaera corolla,641.0,0.0,literature coccosphere,obrien2013b
Syracosphaera cupulifera,113.0,45.25,literature coccosphere,obrien2013b
Syracosphaera dentata,151.0,135.5,literature coccosphere,obrien2013b
Syracosphaera dilatata,172.0,57.0,literature coccosphere,obrien2013b
Syracosphaera epigrosa,131.0,47.5,literature coccosphere,obrien2013b
Syracosphaera exigua,100.0,33.25,literature coccosphere,obrien2013b
Syracosphaera gaarderae,65.0,26.0,literature coccosphere,obrien2013b
Syracosphaera grundii,82.0,13.75,literature coccosphere,obrien2013b
Syracosphaera halldalli,195.0,159.0,literature coccosphere,obrien2013b
Syracosphaera histrica,230.0,86.0,literature coccosphere,obrien2013b
Syracosphaera histrica HOL,345.0,205.75,literature coccosphere,obrien2013b
Syracosphaera magnaghii HOL,109.0,39.25,literature coccosphere,obrien2013b
Syracosphaera marginiporata,10.0,5.25,literature coccosphere,obrien2013b
Syracosphaera mediterranea,345.0,72.0,literature coccosphere,obrien2013b
Syracosphaera mediterranea HOL gracillima type,243.0,108.5,literature coccosphere,obrien2013b
Syracosphaera mediterranea HOL hellenica type,172.0,81.0,literature coccosphere,obrien2013b
Syracosphaera mediterranea HOL wettsteinii type,285.0,100.375,literature coccosphere,obrien2013b
Syracosphaera molischii,56.0,38.25,literature coccosphere,obrien2013b
Syracosphaera molischii HOL,22.0,7.25,literature coccosphere,obrien2013b
Syracosphaera neapolitana,36.0,10.75,literature coccosphere,obrien2013b
Syracosphaera nodosa,263.0,218.5,literature coccosphere,obrien2013b
Syracosphaera noroitica,113.0,17.25,literature coccosphere,obrien2013b
Syracosphaera orbiculus,45.0,10.5,literature coccosphere,obrien2013b
Syracosphaera ossa,41.0,10.25,literature coccosphere,obrien2013b
Syracosphaera prolongata,170.5,79.0,literature coccosphere,obrien2013b
Syracosphaera pulchra,1155.0,1032.75,literature coccosphere,obrien2013b
Syracosphaera pulchra HOL,660.0,606.25,literature coccosphere,obrien2013b
Syracosphaera rotula,26.0,7.0,literature coccosphere,obrien2013b
Syracosphaera spinosa,76.0,9.75,literature coccosphere,obrien2013b
Syracosphaera strigilis HOL,24.0,6.25,literature coccosphere,obrien2013b
Syracosphaera subsalsa,695.0,145.75,literature coccosphere,obrien2013b
Syracosphaera tumularis,382.0,198.0,literature coccosphere,obrien2013b
Thoracosphaera heimii,210.0,7.75,literature coccosphere,obrien2013b
Turrilithus latericioides,97.0,23.25,literature coccosphere,obrien2013b
Umbellosphaera irregularis,221.0,67.25,literature coccosphere,obrien2013b
Umbellosphaera sp.,224.0,80.25,literature coccosphere,obrien2013b
Umbellosphaera tenuis,226.0,93.75,literature coccosphere,obrien2013b
Umbilicosphaera foliosa,310.0,136.75,literature coccosphere,obrien2013b
Umbilicosphaera hulburtiana,545.0,438.75,literature coccosphere,obrien2013b
Umbilicosphaera sibogae,1931.0,2230.75,literature coccosphere,obrien2013b
Umbilicosphaera sp.,929.0,935.25,literature coccosphere,obrien2013b
Zygosphaera amoena,24.0,6.25,literature coccosphere,obrien2013b
Zygosphaera marsilii,43.0,11.25,literature coccosphere,obrien2013b
undefined Calciopappus,29.0,6.5,literature coccosphere,obrien2013b
undefined Calciosolenia,240.0,196.5,literature coccosphere,obrien2013b
undefined Helladosphaera,21.0,8.25,literature coccosphere,obrien2013b
undefined Ophiaster,39.0,31.5,literature coccosphere,obrien2013b
undefined Pappamonas,1331.0,218.25,literature coccosphere,obrien2013b
undefined Sphaerocalyptra,278.0,297.5,literature coccosphere,obrien2013b
undefined Syracolithus,345.0,165.75,literature coccosphere,obrien2013b
undefined Syracosphaera,246.0,126.5,literature coccosphere,obrien2013b
undefined Syracosphaera lamina type,1081.0,681.0,literature coccosphere,obrien2013b
undefined Zygosphaera,80.0,32.75,literature coccosphere,obrien2013b
undefined holo,28.0,9.25,literature coccosphere,obrien2013b
