species,volume,pg pic,phase
Gephyrocapsa muellerae,65.42,8.79,HET
Gephyrocapsa muellerae,58.31,6.61,HET
Helicosphaera pavimentum,485.52,30.57,HET
Helicosphaera carteri,2694.65,196.53,HET
Helicosphaera hyalina,1163.93,148.53,HET
Helicosphaera wallichii,5275.0,347.17,HET
Helicosphaera pavimentum,1882.65,104.67,HET
Helicosphaera wallichii,946.75,117.08,HET
Helicosphaera wallichii,1173.85,169.84,HET
Helicosphaera wallichii,938.71,154.31,HET
Helicosphaera hyalina,1029.8,55.52,HET
Helicosphaera hyalina,680.34,57.4,HET
Helicosphaera pavimentum,1491.68,124.95,HET
Helicosphaera wallichii,1455.65,221.78,HET
Helladosphaera cornifera,107.94,2.22,HOL
Helladosphaera cornifera,86.79,2.04,HOL
Helladosphaera cornifera,190.84,2.59,HOL
Helladosphaera cornifera,243.67,1.56,HOL
Helladosphaera cornifera,627.16,5.71,HOL
Helladosphaera cornifera,351.97,2.06,HOL
Helladosphaera cornifera,108.53,2.5,HOL
Helladosphaera cornifera,510.64,4.31,HOL
Helladosphaera cornifera,188.3,2.32,HOL
Helladosphaera cornifera,133.94,2.18,HOL
Homozygosphaera spinosa,177.7,5.95,HOL
Homozygosphaera spinosa,116.41,0.61,HOL
Michaelsarsia elegans,283.5,17.93,HET
Michaelsarsia elegans,185.27,17.43,HET
Michaelsarsia elegans,231.76,21.45,HET
Michaelsarsia elegans,213.59,14.51,HET
Michaelsarsia elegans,352.71,16.99,HET
Oolithotus antillarum,523.3,54.4,HET
Oolithotus antillarum,322.34,33.56,HET
Oolithotus antillarum,403.99,71.87,HET
Oolithotus antillarum,120.71,15.34,HET
Oolithotus antillarum,207.44,35.93,HET
Oolithotus antillarum,287.69,28.18,HET
Oolithotus antillarum,229.2,36.53,HET
Oolithotus antillarum,167.87,15.57,HET
Oolithotus antillarum,52.82,12.84,HET
Oolithotus antillarum,104.21,13.93,HET
Oolithotus fragilis,1761.6,178.75,HET
Oolithotus antillarum,187.05,22.13,HET
Oolithotus antillarum,151.98,15.66,HET
Oolithotus antillarum,92.92,5.22,HET
Oolithotus antillarum,148.81,13.37,HET
Oolithotus antillarum,80.33,14.78,HET
Oolithotus antillarum,309.66,38.23,HET
Oolithotus antillarum,400.29,30.77,HET
Oolithotus antillarum,190.59,35.02,HET
Oolithotus antillarum,219.58,26.06,HET
Oolithotus antillarum,306.05,29.21,HET
Oolithotus antillarum,234.64,15.17,HET
Oolithotus antillarum,102.44,14.84,HET
Oolithotus antillarum,230.76,48.21,HET
Oolithotus antillarum,295.76,42.24,HET
Oolithotus antillarum,205.59,21.09,HET
Oolithotus antillarum,229.62,46.82,HET
Oolithotus antillarum,128.57,15.76,HET
Oolithotus antillarum,72.95,17.05,HET
Oolithotus antillarum,243.22,36.67,HET
Oolithotus fragilis,947.39,123.66,HET
Oolithotus fragilis,1561.61,138.18,HET
Oolithotus antillarum,191.38,15.07,HET
Oolithotus antillarum,139.39,7.64,HET
Ophiaster formosus,106.1,4.43,HET
Ophiaster formosus,115.91,4.48,HET
Rhabdosphaera clavigera,108.07,11.56,HET
Rhabdosphaera clavigera,158.59,17.75,HET
Rhabdosphaera clavigera,199.12,24.75,HET
Rhabdosphaera clavigera,209.48,28.8,HET
Rhabdosphaera clavigera,134.94,19.49,HET
Rhabdosphaera clavigera,148.46,16.07,HET
Rhabdosphaera clavigera,159.64,20.34,HET
Rhabdosphaera clavigera,101.12,9.52,HET
Rhabdosphaera clavigera,206.07,15.95,HET
Rhabdosphaera clavigera,198.17,22.68,HET
Rhabdosphaera clavigera,146.87,19.5,HET
Rhabdosphaera clavigera,158.48,18.64,HET
Rhabdosphaera clavigera,361.61,26.2,HET
Rhabdosphaera clavigera,241.56,21.89,HET
Rhabdosphaera clavigera,128.08,16.15,HET
Rhabdosphaera clavigera,178.52,12.38,HET
Rhabdosphaera clavigera,202.33,13.0,HET
Rhabdosphaera clavigera,505.43,56.11,HET
Syracosphaera nodosa,224.98,4.97,HET
Syracosphaera bannockii,77.07,1.19,HET
Syracosphaera molischii,78.22,1.01,HET
Syracosphaera nodosa,211.92,8.55,HET
Syracosphaera bannockii,249.43,1.99,HET
Syracosphaera molischii,85.46,1.99,HET
Syracosphaera ossa,112.03,2.83,HET
Syracosphaera pulchra HOL oblonga type,1782.74,12.07,HOL
Syracosphaera molischii,63.01,0.71,HET
Syracosphaera hastata,120.8,1.18,HET
Syracosphaera nodosa,59.04,1.01,HET
Syracosphaera bannockii,249.43,1.75,HET
Syracosphaera prolongata,48.19,0.79,HET
Syracosphaera nodosa,85.32,1.14,HET
Syracosphaera aurisinae HOL,321.69,7.71,HOL
Syracosphaera nodosa,100.84,1.15,HET
Syracosphaera orbiculus,54.38,0.49,HET
Syracosphaera hastata,53.99,1.13,HET
Syracosphaera pulchra HOL pirus type,2261.17,27.44,HOL
Syracosphaera aurisinae HOL,319.53,7.48,HOL
Syracosphaera ossa,156.57,4.32,HET
Syracosphaera ossa,183.86,2.64,HET
Syracosphaera aurisinae HOL,504.86,9.45,HOL
Syracosphaera molischii,107.88,2.17,HET
Syracosphaera molischii,113.69,2.98,HET
Syracosphaera molischii,207.96,4.37,HET
Syracosphaera mediterranea HOL wettsteinii type,317.82,5.54,HOL
Syracosphaera noroitica,41.47,1.58,HET
Syracosphaera noroitica,73.12,0.91,HET
Syracosphaera anthos HOL,1152.57,11.34,HOL
Syracosphaera strigilis HOL,143.5,2.1,HOL
Syracosphaera ossa,193.35,4.14,HET
Syracosphaera bannockii,321.12,9.47,HET
Syracosphaera bannockii HOL,49.9,1.25,HOL
Syracosphaera ossa,143.43,2.39,HET
Syracosphaera ossa,97.17,4.22,HET
Syracosphaera ossa,131.87,3.18,HET
Syracosphaera pulchra,2738.66,69.09,HET
Syracosphaera ossa,145.2,2.88,HET
Syracosphaera ossa,154.62,5.04,HET
Syracosphaera prolongata,772.2,10.02,HET
Syracosphaera bannockii HOL,150.19,2.8,HOL
Syracosphaera bannockii HOL,88.07,1.81,HOL
Syracosphaera castellata,17.72,0.51,HET
Syracosphaera ossa,140.16,4.17,HET
Syracosphaera ossa,101.37,2.4,HET
Syracosphaera bannockii HOL,95.81,0.95,HOL
Syracosphaera prolongata,351.97,3.11,HET
Syracosphaera ossa,89.23,2.46,HET
Syracosphaera prolongata,868.24,3.29,HET
Syracosphaera halldalii,23.86,0.26,HET
Syracosphaera prolongata,247.01,3.27,HET
Syracosphaera molischii,172.79,1.63,HET
Syracosphaera ossa,132.03,3.97,HET
Syracosphaera halldalii,43.61,1.33,HET
Syracosphaera halldalii,870.08,9.89,HET
Syracosphaera ossa,79.45,1.57,HET
Syracosphaera noroitica,58.55,0.6,HET
Syracosphaera histrica HOL,181.63,4.03,HOL
Syracosphaera mediterranea HOL wettsteinii type,3227.32,15.04,HOL
Syracosphaera anthos,161.07,1.42,HET
Syracosphaera nodosa,511.08,4.84,HET
Syracosphaera anthos,449.11,6.9,HET
Syracosphaera leptolepsis,98.62,1.21,HET
Syracosphaera pulchra,1140.93,23.15,HET
Syracosphaera leptolepsis,653.2,2.54,HET
Syracosphaera bannockii,164.27,2.85,HET
Syracosphaera pulchra,2387.83,68.21,HET
Syracosphaera pulchra,4126.94,118.66,HET
Syracosphaera pulchra,1539.64,113.77,HET
Syracosphaera histrica,948.84,10.91,HET
Syracosphaera pulchra,682.94,27.59,HET
Syracosphaera bannockii HOL,79.75,1.07,HOL
Syracosphaera mediterranea,2492.06,35.93,HET
Syracosphaera ossa,126.66,2.09,HET
Syracosphaera aurisinae HOL,517.63,12.96,HOL
Syracosphaera bannockii HOL,109.13,2.75,HOL
Syracosphaera ossa,119.38,3.18,HET
Syracosphaera ossa,125.79,2.71,HET
Syracosphaera nodosa,173.21,2.11,HET
Syracosphaera molischii,282.76,2.69,HET
Syracosphaera ossa,176.37,5.58,HET
Syracosphaera ossa,99.72,5.19,HET
Syracosphaera ossa,179.27,6.4,HET
Syracosphaera pulchra,2713.46,69.69,HET
Syracosphaera prolongata,285.36,4.96,HET
Syracosphaera ossa,174.12,4.14,HET
Syracosphaera nodosa,348.25,11.95,HET
Syracosphaera nodosa,79.47,1.52,HET
Syracosphaera prolongata,474.17,2.31,HET
Syracosphaera molischii,212.25,3.17,HET
Syracosphaera nodosa,222.97,4.53,HET
Syracosphaera molischii,114.28,4.27,HET
Syracosphaera reniformis,56.5,0.59,HET
Syracosphaera anthos,168.59,3.53,HET
Syracosphaera reniformis,65.49,1.41,HET
Syracosphaera reniformis,59.26,1.53,HET
Syracosphaera reniformis,84.97,3.04,HET
Tetralithoides quadrilaminata,3840.17,52.89,HET
Tetralithoides quadrilaminata,5301.99,31.79,HET
Tetralithoides quadrilaminata,3846.69,39.3,HET
Tetralithoides quadrilaminata,3607.43,61.02,HET
Tetralithoides quadrilaminata,4531.36,33.85,HET
Umbellosphaera tenuis,144.85,2.86,HET
Umbellosphaera tenuis,333.31,6.32,HET
Umbellosphaera tenuis,283.81,4.0,HET
Umbellosphaera tenuis,269.69,2.28,HET
Umbellosphaera tenuis,241.56,6.05,HET
Umbellosphaera tenuis,370.54,6.01,HET
Umbellosphaera tenuis,246.75,9.68,HET
Umbellosphaera tenuis,527.93,11.19,HET
Umbellosphaera tenuis,444.02,11.87,HET
Umbellosphaera tenuis,350.62,5.88,HET
Umbellosphaera tenuis,286.38,3.49,HET
Umbellosphaera tenuis,483.31,10.52,HET
Umbellosphaera tenuis,163.58,6.41,HET
Umbellosphaera tenuis,513.64,10.96,HET
Umbellosphaera tenuis,427.76,6.69,HET
Umbellosphaera tenuis,640.53,8.02,HET
Umbellosphaera tenuis,348.03,5.99,HET
Umbellosphaera irregularis,256.62,4.17,HET
Umbellosphaera tenuis,432.26,11.06,HET
Umbellosphaera tenuis,322.84,4.69,HET
Umbellosphaera tenuis,294.48,11.57,HET
Umbellosphaera tenuis,322.73,8.09,HET
Umbellosphaera tenuis,233.16,9.72,HET
Umbellosphaera tenuis,212.83,4.23,HET
Umbellosphaera irregularis,636.21,16.96,HET
Umbellosphaera tenuis,532.27,10.0,HET
Umbellosphaera tenuis,302.45,7.11,HET
Umbellosphaera tenuis,359.74,4.55,HET
Umbellosphaera irregularis,906.59,16.98,HET
Umbellosphaera tenuis,254.55,4.29,HET
Umbellosphaera tenuis,409.35,7.09,HET
Umbellosphaera tenuis,422.12,9.8,HET
Umbellosphaera tenuis,397.14,15.53,HET
Umbellosphaera tenuis,380.42,9.05,HET
Umbellosphaera tenuis,358.77,6.21,HET
Umbellosphaera irregularis,1218.8,15.85,HET
Umbellosphaera tenuis,508.12,6.14,HET
Umbellosphaera tenuis,377.14,14.48,HET
Umbellosphaera tenuis,336.52,7.41,HET
Umbellosphaera irregularis,1027.22,7.2,HET
Umbellosphaera tenuis,446.23,6.86,HET
Umbellosphaera tenuis,308.53,11.09,HET
Umbellosphaera tenuis,202.1,2.49,HET
Umbellosphaera tenuis,485.96,10.85,HET
Umbellosphaera irregularis,1019.15,20.63,HET
Umbellosphaera irregularis,1360.47,10.81,HET
Umbellosphaera tenuis,293.96,4.44,HET
Umbellosphaera tenuis,326.23,8.3,HET
Umbellosphaera tenuis,365.93,8.67,HET
Umbellosphaera tenuis,402.71,9.81,HET
Umbellosphaera tenuis,356.38,11.93,HET
Umbellosphaera tenuis,273.25,6.3,HET
Umbellosphaera tenuis,508.42,10.21,HET
Umbellosphaera irregularis,466.34,8.03,HET
Umbellosphaera irregularis,547.35,7.97,HET
Umbellosphaera tenuis,699.21,9.61,HET
Umbellosphaera tenuis,457.09,6.77,HET
Umbellosphaera tenuis,254.63,4.96,HET
Umbellosphaera tenuis,475.98,12.63,HET
Umbellosphaera tenuis,336.16,11.07,HET
Umbellosphaera irregularis,605.95,16.79,HET
Umbellosphaera irregularis,918.75,11.08,HET
Umbellosphaera irregularis,936.59,12.39,HET
Umbellosphaera irregularis,1152.61,13.35,HET
Umbellosphaera irregularis,889.04,3.34,HET
Umbellosphaera irregularis,407.95,7.14,HET
Umbellosphaera irregularis,277.86,5.51,HET
Umbellosphaera irregularis,324.67,6.16,HET
Umbellosphaera irregularis,732.67,15.47,HET
Umbellosphaera irregularis,158.23,3.79,HET
Umbellosphaera tenuis,111.56,2.92,HET
Umbellosphaera tenuis,220.46,2.4,HET
Umbellosphaera tenuis,360.64,3.16,HET
Umbellosphaera tenuis,265.8,1.92,HET
Umbellosphaera tenuis,273.84,1.84,HET
Umbellosphaera tenuis,398.78,6.3,HET
Umbellosphaera tenuis,342.18,2.32,HET
Umbellosphaera tenuis,543.85,4.61,HET
Umbellosphaera irregularis,831.85,0.13,HET
Umbellosphaera tenuis,379.92,2.15,HET
Umbellosphaera tenuis,278.26,0.88,HET
Umbellosphaera tenuis,341.71,3.48,HET
Umbellosphaera tenuis,245.52,2.89,HET
Umbellosphaera tenuis,594.26,3.59,HET
Umbellosphaera tenuis,541.07,4.35,HET
Umbellosphaera tenuis,166.02,1.23,HET
Umbellosphaera irregularis,118.26,0.09,HET
Umbellosphaera tenuis,328.96,2.34,HET
Umbellosphaera tenuis,289.96,3.11,HET
Umbellosphaera irregularis,547.03,6.66,HET
Umbellosphaera tenuis,328.64,5.56,HET
Umbellosphaera tenuis,218.96,3.01,HET
Umbellosphaera irregularis,849.62,0.14,HET
Umbellosphaera tenuis,149.42,5.06,HET
Umbellosphaera tenuis,98.12,7.74,HET
Umbellosphaera irregularis,729.9,9.53,HET
Umbellosphaera tenuis,254.06,7.19,HET
Umbellosphaera tenuis,349.03,11.26,HET
Umbellosphaera irregularis,1645.3,11.92,HET
Umbellosphaera tenuis,518.89,7.5,HET
Umbellosphaera tenuis,279.21,7.13,HET
Umbellosphaera tenuis,321.67,8.27,HET
Umbellosphaera tenuis,581.68,8.93,HET
Umbellosphaera tenuis,422.47,15.21,HET
Umbellosphaera tenuis,406.62,8.13,HET
Umbellosphaera irregularis,486.55,13.34,HET
Umbellosphaera tenuis,313.15,8.52,HET
Umbellosphaera irregularis,359.38,15.17,HET
Umbellosphaera irregularis,1134.52,13.45,HET
Umbellosphaera tenuis,339.88,10.13,HET
Umbellosphaera irregularis,1161.46,12.37,HET
Umbellosphaera tenuis,259.01,12.84,HET
Umbellosphaera irregularis,591.04,14.78,HET
Umbellosphaera tenuis,473.61,6.31,HET
Umbellosphaera tenuis,458.23,10.86,HET
Umbellosphaera tenuis,217.1,21.87,HET
Umbellosphaera irregularis,1511.1,22.78,HET
Umbellosphaera irregularis,623.14,19.77,HET
Umbellosphaera irregularis,1028.54,16.94,HET
Umbellosphaera tenuis,267.59,5.63,HET
Umbellosphaera tenuis,241.23,6.35,HET
Umbellosphaera irregularis,1229.04,33.37,HET
Umbellosphaera irregularis,1587.49,40.65,HET
Umbilicosphaera sibogae,1597.68,97.35,HET
Umbilicosphaera sibogae,3514.55,249.45,HET
Umbilicosphaera hulburtiana,328.52,27.11,HET
Umbilicosphaera hulburtiana,389.76,65.3,HET
Umbilicosphaera hulburtiana,422.52,32.54,HET
Umbilicosphaera hulburtiana,526.72,56.58,HET
Umbilicosphaera hulburtiana,377.93,21.52,HET
Umbilicosphaera hulburtiana,325.38,17.27,HET
Umbilicosphaera hulburtiana,399.74,30.44,HET
Umbilicosphaera hulburtiana,537.26,51.95,HET
Umbilicosphaera hulburtiana,502.9,60.48,HET
Umbilicosphaera hulburtiana,446.37,47.09,HET
Umbilicosphaera hulburtiana,374.76,46.29,HET
Umbilicosphaera hulburtiana,381.04,37.08,HET
Umbilicosphaera hulburtiana,484.93,40.03,HET
Umbilicosphaera hulburtiana,277.98,26.09,HET
Umbilicosphaera hulburtiana,666.39,43.64,HET
Umbilicosphaera hulburtiana,403.4,36.34,HET
Umbilicosphaera hulburtiana,582.88,50.76,HET
Umbilicosphaera hulburtiana,387.3,33.0,HET
Umbilicosphaera hulburtiana,331.06,39.09,HET
Umbilicosphaera hulburtiana,393.53,25.28,HET
Umbilicosphaera hulburtiana,852.32,49.32,HET
Umbilicosphaera hulburtiana,506.66,49.52,HET
Umbilicosphaera hulburtiana,453.16,22.76,HET
Umbilicosphaera hulburtiana,448.17,45.95,HET
Umbilicosphaera hulburtiana,481.98,45.57,HET
Umbilicosphaera hulburtiana,872.01,77.12,HET
Umbilicosphaera hulburtiana,626.7,51.09,HET
Umbilicosphaera hulburtiana,509.03,59.27,HET
Umbilicosphaera hulburtiana,296.81,27.05,HET
Umbilicosphaera hulburtiana,256.87,21.43,HET
Umbilicosphaera hulburtiana,314.27,22.34,HET
Umbilicosphaera hulburtiana,547.48,46.61,HET
Umbilicosphaera hulburtiana,858.69,44.71,HET
Umbilicosphaera hulburtiana,772.29,50.72,HET
Umbilicosphaera hulburtiana,419.26,37.81,HET
Umbilicosphaera hulburtiana,490.7,23.5,HET
Umbilicosphaera hulburtiana,296.28,16.41,HET
Umbilicosphaera hulburtiana,439.21,44.98,HET
Umbilicosphaera hulburtiana,564.35,31.79,HET
Umbilicosphaera hulburtiana,355.97,32.45,HET
Umbilicosphaera hulburtiana,338.1,42.47,HET
Umbilicosphaera hulburtiana,458.57,39.36,HET
Umbilicosphaera hulburtiana,439.49,25.95,HET
Umbilicosphaera hulburtiana,319.79,22.38,HET
Umbilicosphaera hulburtiana,378.88,30.12,HET
Umbilicosphaera hulburtiana,473.3,27.87,HET
Umbilicosphaera hulburtiana,265.13,16.17,HET
Umbilicosphaera hulburtiana,442.7,34.24,HET
Umbilicosphaera hulburtiana,308.69,21.08,HET
Umbilicosphaera sibogae,10095.28,252.44,HET
