species,volume,pg pic,phase
Emiliania huxleyi,50.3,0.93,HET
Emiliania huxleyi,52.54,0.65,HET
Emiliania huxleyi,67.39,1.65,HET
Emiliania huxleyi,40.28,0.75,HET
Emiliania huxleyi,42.48,1.38,HET
Emiliania huxleyi,42.92,0.77,HET
Emiliania huxleyi,110.91,2.3,HET
Emiliania huxleyi,99.23,2.76,HET
Emiliania huxleyi,95.19,1.65,HET
Emiliania huxleyi,168.88,4.78,HET
Emiliania huxleyi,121.79,4.37,HET
Emiliania huxleyi,46.42,0.96,HET
Emiliania huxleyi,40.99,0.65,HET
Emiliania huxleyi,266.78,5.95,HET
Emiliania huxleyi,313.12,6.63,HET
Emiliania huxleyi,49.58,0.93,HET
Emiliania huxleyi,31.71,0.7,HET
Emiliania huxleyi,71.73,1.65,HET
Emiliania huxleyi,261.01,6.36,HET
Emiliania huxleyi,71.81,1.47,HET
Emiliania huxleyi,205.2,4.98,HET
Emiliania huxleyi,93.89,1.82,HET
Emiliania huxleyi,62.24,1.75,HET
Emiliania huxleyi,63.12,1.21,HET
Emiliania huxleyi,58.93,3.71,HET
Emiliania huxleyi,491.75,6.67,HET
Emiliania huxleyi,56.83,1.84,HET
Emiliania huxleyi,48.54,1.57,HET
Emiliania huxleyi,35.96,1.08,HET
Emiliania huxleyi,46.99,1.32,HET
Emiliania huxleyi,305.05,6.03,HET
Emiliania huxleyi,41.98,0.95,HET
Emiliania huxleyi,39.07,1.61,HET
Emiliania huxleyi,55.34,1.67,HET
Emiliania huxleyi,46.99,1.06,HET
Emiliania huxleyi,74.9,2.21,HET
Emiliania huxleyi,49.58,1.09,HET
Emiliania huxleyi,112.76,2.92,HET
Emiliania huxleyi,75.9,1.09,HET
Emiliania huxleyi,52.68,1.5,HET
Emiliania huxleyi,46.99,1.1,HET
Emiliania huxleyi,52.54,1.51,HET
Emiliania huxleyi,50.07,0.7,HET
Emiliania huxleyi,66.6,2.36,HET
Emiliania huxleyi,40.45,1.89,HET
Emiliania huxleyi,37.02,1.16,HET
Emiliania huxleyi,31.71,0.8,HET
Emiliania huxleyi,39.55,0.5,HET
Emiliania huxleyi,61.94,1.86,HET
Emiliania huxleyi,50.01,1.69,HET
Emiliania huxleyi,51.2,1.17,HET
Emiliania huxleyi,176.38,3.64,HET
Emiliania huxleyi,54.5,1.52,HET
Emiliania huxleyi,62.21,2.15,HET
Emiliania huxleyi,68.52,1.05,HET
Emiliania huxleyi,40.59,1.26,HET
Emiliania huxleyi,44.06,0.87,HET
Emiliania huxleyi,30.75,0.4,HET
Emiliania huxleyi,51.0,1.12,HET
Emiliania huxleyi,88.64,1.67,HET
Emiliania huxleyi,39.55,1.08,HET
Emiliania huxleyi,54.5,1.28,HET
Emiliania huxleyi,41.05,0.85,HET
Emiliania huxleyi,65.88,0.89,HET
Emiliania huxleyi,60.7,1.7,HET
Emiliania huxleyi,50.83,0.74,HET
Emiliania huxleyi,72.57,1.73,HET
Emiliania huxleyi,56.54,1.82,HET
Emiliania huxleyi,64.16,0.79,HET
Emiliania huxleyi,51.06,1.37,HET
Emiliania huxleyi,75.42,1.19,HET
Emiliania huxleyi,81.95,0.88,HET
Emiliania huxleyi,67.35,2.75,HET
Emiliania huxleyi,60.85,1.92,HET
Emiliania huxleyi,48.51,0.88,HET
Emiliania huxleyi,36.7,1.21,HET
Emiliania huxleyi,122.03,2.31,HET
Emiliania huxleyi,50.87,1.56,HET
Emiliania huxleyi,111.02,2.19,HET
Emiliania huxleyi,60.85,0.95,HET
Emiliania huxleyi,125.7,2.42,HET
Emiliania huxleyi,51.77,1.28,HET
Emiliania huxleyi,69.09,0.9,HET
Emiliania huxleyi,50.27,1.27,HET
Emiliania huxleyi,63.08,1.65,HET
Emiliania huxleyi,97.84,1.71,HET
Emiliania huxleyi,63.62,1.0,HET
Emiliania huxleyi,166.75,1.76,HET
Emiliania huxleyi,58.09,0.79,HET
Emiliania huxleyi,60.85,0.9,HET
Emiliania huxleyi,31.2,1.21,HET
Emiliania huxleyi,53.22,0.75,HET
Emiliania huxleyi,50.04,0.99,HET
Emiliania huxleyi,46.99,1.42,HET
Emiliania huxleyi,47.17,1.09,HET
Emiliania huxleyi,55.37,0.64,HET
Emiliania huxleyi,66.48,1.11,HET
Emiliania huxleyi,74.9,1.49,HET
Emiliania huxleyi,52.95,1.7,HET
Emiliania huxleyi,80.95,1.08,HET
Emiliania huxleyi,106.17,1.69,HET
Emiliania huxleyi,63.74,2.18,HET
Emiliania huxleyi,80.04,2.08,HET
Emiliania huxleyi,47.74,1.01,HET
Emiliania huxleyi,56.68,1.24,HET
Emiliania huxleyi,75.25,3.57,HET
Emiliania huxleyi,52.68,0.79,HET
