Latitude,Longitude,Date,Month,Depth,Calciopappus caudatus,Coccolithus pelagicus,Emiliania huxleyi,Syracosphaera spp.,Gephyrocapsa ericsonii
75.15,12.52,22/05/91,5,1,3900,0,39300,400,0
75,14.42,26/05/91,5,1,4300,400,23600,400,0
74.47,13.52,27/05/91,5,1,7000,400,52100,400,0
72.38,-8.27,11/07/92,7,20,0,5300,0,0,0
72.23,-7.42,11/07/92,7,5,0,1100,0,0,0
67.55,-17.56,14/07/92,7,10,0,0,0,0,0
67.55,-18.46,15/07/92,7,10,0,4000,0,0,0
67.54,-18.39,16/07/92,7,10,0,2000,0,0,0
60.26,-4.54,05/10/93,10,1,2500,800,1700,2500,0
63.45,-5,08/10/93,10,1,1700,2300,3500,7500,0
65.49,-3.16,08/10/93,10,1,4400,0,50900,69700,0
70,0,10/10/93,10,1,4000,5300,0,6100,0
74.59,14.23,12/10/93,10,1,2000,0,1500,6000,0
78.58,5.27,05/08/94,8,1,0,0,0,0,0
79.01,-3.56,09/08/94,8,5,0,0,0,0,0
67.11,9.17,25/03/95,3,1,0,0,2100,0,0
67.25,8.42,05/04/95,4,1,4800,0,29300,0,0
67.08,7.2,06/04/95,4,1,0,0,3200,1000,0
