species,diameter (um) [median],diameter (um) [95 CI lower],diameter (um) [95 CI upper],POC (pg poc) [median],POC (pg poc) [95 CI lower],POC (pg poc) [95 CI upper],PIC (pg pic) [median],PIC (pg pic) [95 CI lower],PIC (pg pic) [95 CI upper],PIC:POC (pg pic: pg poc) [median],PIC:POC (pg pic: pg poc) [95 CI lower],PIC:POC (pg pic: pg poc) [95 CI upper]
Helicosphaera HOL ponticuliferus type,9.06,9.01,9.1,68.1,67.2,69.1,16.3,16.1,16.6,0.24,0.235,0.246
Helicosphaera carteri HET,11.3,11.2,11.3,170.0,168.0,172.0,191.0,190.0,193.0,1.13,1.12,1.14
Helicosphaera hyalina HET,10.3,10.2,10.3,129.0,127.0,130.0,104.0,102.0,106.0,0.811,0.793,0.827
Helicosphaera pavimentum HET,9.33,9.29,9.38,73.8,72.8,74.8,66.4,64.8,68.1,0.899,0.873,0.92
Helicosphaera pavimentum HOL,9.32,9.29,9.37,71.1,70.3,72.1,18.3,18.1,18.6,0.258,0.253,0.263
Helicosphaera wallichii HET,8.59,8.54,8.65,50.5,49.6,51.5,202.0,200.0,205.0,4.02,3.92,4.1
Helladosphaera cornifera HOL,5.5,5.46,5.54,19.3,18.9,19.8,2.72,2.68,2.76,0.141,0.137,0.144
Helladosphaera pienaarii HOL,10.5,10.4,10.6,130.0,127.0,132.0,27.3,26.7,27.8,0.21,0.204,0.215
Holococcolithophora dentata HOL,14.4,14.3,14.5,242.0,238.0,245.0,79.1,78.0,80.3,0.327,0.321,0.332
Homozygosphaera spinosa HOL,3.55,3.51,3.58,4.02,3.9,4.14,3.33,3.22,3.43,0.826,0.789,0.867
Homozygosphaera triarcha HOL,5.46,5.43,5.48,17.1,16.8,17.3,2.93,2.86,2.99,0.171,0.167,0.176
Michaelsarsia adriaticus HET,11.3,11.3,11.4,145.0,143.0,147.0,36.8,36.4,37.2,0.254,0.249,0.258
Michaelsarsia elegans HET,10.2,10.1,10.3,91.2,89.4,93.1,17.8,17.8,17.9,0.196,0.191,0.199
Oolithotus antillarum HET,5.85,5.82,5.88,20.0,19.7,20.3,26.7,26.2,27.2,1.33,1.3,1.37
Oolithotus fragilis HET,12.0,11.9,12.0,169.0,167.0,171.0,146.0,145.0,147.0,0.862,0.853,0.874
