Latitude,Longitude,Date,Depth,Reference,Acanthoica quattrospina,Algirosphaera robusta,Braarudosphaera bigelowii,Calcidiscus leptoporus,Calciopappus caudatus,Calciopappus rigidus,Calciosolenia brasiliensis,Calciosolenia murrayi,Caneosphaera molischii,Ceratolithus cristatus,Coccolithus pelagicus,Coronosphaera mediterranea,Cyrtosphaera aculeata,Discosphaera tubifera,Emiliana huxleyi,Emiliania huxleyi,Florisphaera profunda,Gephyrocapsa oceanica,Gephyrocapsa ornata,Gladiolithus flabellatus,Helicosphaera carterii,Helicosphaera hyalina,Michaelsarsia elegans,Ophiaster hydroideus,Phaeocystis pouchetii,Pontosphaera syracusana,Rhabdosphaera clavigera,Scyphosphaera apsteinii,Syracosphaera anthos type,Syracosphaera borealis,Syracosphaera prolongata,Syracosphaera prolongata type,Syracosphaera pulchra,Syracosphaera rotula type,Umbilicosphaera hulburtiana,Umbilicosphaera sibogae
-2.79,-27.5272,09-10-1995,7,Sal2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0,0,0,0.2,0,0,0,0,0,0,0,0,0.16,0,0,0,0,0,0,0,0,0.02
-2.79,-27.5272,09-10-1995,90,Sal2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,10-10-1995,7,Sal2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0,0,0,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0
,,10-10-1995,100,Sal2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0.1,0,0,0.02,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0.06,0
-11.4695,-31.5546,11-10-1995,7,Sal2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36,0,0,0,1.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-11.4695,-31.5546,11-10-1995,140,Sal2013,0,0,0,0,0,0,0.24,0.02,0,0,0,0,0,0.02,0,0,0,0.54,0,0,0,0,0,0,0,0,0.28,0.02,0,0,0,0,0,0,0,0
-15.5804,-33.4497,12-10-1995,7,Sal2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0,0,0,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-15.5804,-33.4497,12-10-1995,150,Sal2013,0,0,0,0,0,0,0.24,0.02,0,0,0,0,0,0.28,0,0,0,0.16,0,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0
-19.6447,-35.3618,13-10-1995,7,Sal2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34,0,0,0,3.03,0,0,0.02,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0
-19.6447,-35.3618,13-10-1995,160,Sal2013,0,0,0,0,0,0,0.16,0,0,0,0,0,0,0.02,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0
-23.7904,-37.3878,14-10-1995,7,Sal2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0.12,0,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0.02
-23.7904,-37.3878,14-10-1995,120,Sal2013,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0.26,0,0,0,0.06,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0.06,0.1
-27.1173,-40.138,15-10-1995,7,Sal2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0,0,0,3.03,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0.24
-27.1173,-40.138,15-10-1995,80,Sal2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.03,0,0,0,0,0,0,0,0,0.16,0,0,0,0,0,0,0,0,0.4
-30.2901,-43.3896,16-10-1995,7,Sal2013,0,0,0,0,0,0,0.08,0,0,0,0,0,0,1.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0.12
-30.2901,-43.3896,16-10-1995,100,Sal2013,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0.24,0,0,0,0,0,0,0.04,0,0.04,0,0,0,0.08,0,0,0,0,0,0,0,0.12,0.16
-33.1801,-46.4154,17-10-1995,7,Sal2013,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0.28,0,0,0,1.51,0,0,0.32,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0.04,0.08
-33.1801,-46.4154,17-10-1995,40,Sal2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0,0,0,3.03,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0
-40.9514,-55.2599,22-10-1995,7,Sal2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-40.9514,-55.2599,22-10-1995,40,Sal2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-46.008,-56.2836,23-10-1995,7,Sal2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-46.008,-56.2836,23-10-1995,40,Sal2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-50.8081,-57.4196,24-10-1995,7,Sal2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-50.8081,-57.4196,24-10-1995,30,Sal2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-47.5886,-55.597,23-04-1996,7,Sal2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-47.5886,-55.597,23-04-1996,60,Sal2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-43.4254,-54.7414,24-04-1996,7,Sal2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-43.4254,-54.7414,24-04-1996,30,Sal2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-39.4045,-53.3096,25-04-1996,7,Sal2013,0,0,0,0,0,0,0.16,0.04,0,0,0,0,0,1.12,0,54.46,0,45.39,0,0,0.08,0,0,0,0,0,0.16,0,0,0,0,0,0,0,0,0.24
-39.4045,-53.3096,25-04-1996,50,Sal2013,0,0,0,0,0,0,0,0.16,0,0,0,0,0,0.96,0,78.68,0,6.05,0,0,0.12,0,0,0,0,0,0.32,0,0,0,0,0,0,0,0,0.24
-36.0588,-49.8114,29-04-1996,7,Sal2013,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0,22.68,0,0,0,0,0.02,0,0.02,0,0,0,0.48,0,0,0,0,0,0,0,0,0.06
-36.0588,-49.8114,29-04-1996,80,Sal2013,0,0,0,0,0,0,0,0,0,0,0,0,0,1.08,0,39.34,0,0,0,0,0,0,0.04,0,0,0,0.8,0,0,0,0,0,0,0,0,0.12
-33.3946,-46.6136,30-04-1996,7,Sal2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0.76,0,21.18,0,4.54,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0.44
-33.3946,-46.6136,30-04-1996,70,Sal2013,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0.04,0,9.08,0,10.59,0,0.56,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2
-30.31,-43.4269,01-05-1996,7,Sal2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0.88,0,1.12,0,0.12,0,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0
-30.31,-43.4269,01-05-1996,110,Sal2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0.16,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04
-27.6196,-40.7161,02-05-1996,7,Sal2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,6.04,0,1.51,0,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,9.06,0
-27.6196,-40.7161,02-05-1996,80,Sal2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,12.1,0,0.02,0,0,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0
-24.3494,-37.8635,03-05-1996,7,Sal2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0.68,0,6.06,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,4.53,0
-24.3494,-37.8635,03-05-1996,100,Sal2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,3.02,0,1.51,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0
-19.9084,-35.5309,04-05-1996,7,Sal2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0,3.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0
-19.9084,-35.5309,04-05-1996,80,Sal2013,0,0,0,0,0,0,0.32,0,0,0,0,0,0,0,0,25.72,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0
-15.1714,-33.3054,05-05-1996,7,Sal2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0,0.24,0,0,0,0,0,0,0,0,0,0,0.24,0,0,0,0,0,0,0,0,0
-15.1714,-33.3054,05-05-1996,150,Sal2013,0,0,0,0,0,0,0.32,0,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-11.2464,-31.4648,06-05-1996,7,Sal2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,1.51,0
-11.2464,-31.4648,06-05-1996,70,Sal2013,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0.08,0,18.16,0,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-11.2464,-31.4648,06-05-1996,130,Sal2013,0,0,0,0,0,0,0.16,0,0,0,0,0,0,0.08,0,3.02,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-7.4763,-29.7628,07-05-1996,7,Sal2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,3.02,0,0,0,0,0.16,0,0,0,0,0,0.24,0,0,0,0,0,0,0,4.54,0
-7.4763,-29.7628,07-05-1996,30,Sal2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48,0,12.1,0,0,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0
-7.4763,-29.7628,07-05-1996,100,Sal2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0,3.02,0,0,0,0,0,0,0,0,0,0,0.16,0,0,0,0,0,0,0,0,0
-3.9165,-28.2124,08-05-1996,7,Sal2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-3.9165,-28.2124,08-05-1996,60,Sal2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.32,0,0,0,0,0.04,0,0.08,0,0,0,0.16,0,0,0,0,0,0,0,0,0
-0.1951,-26.3851,09-05-1996,7,Sal2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.1951,-26.3851,09-05-1996,40,Sal2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0,12.1,0,0,0,0,0,0,0.04,0,0,0,0.48,0,0,0,0,0,0,0,0,0
-0.1951,-26.3851,09-05-1996,70,Sal2013,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,12.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.4015,-24.8052,10-05-1996,7,Sal2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.4015,-24.8052,10-05-1996,60,Sal2013,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.5785,-22.9468,11-05-1996,7,Sal2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0
7.5785,-22.9468,11-05-1996,50,Sal2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.2,0,0,0,0,0.6,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0
11.7404,-21.0588,12-05-1996,7,Sal2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48,0,12.1,0,0,0,0,0.04,0,0,0,0,0,0.64,0,0,0,0,0,0,0,0,0.08
11.7404,-21.0588,12-05-1996,40,Sal2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233,0,0.56,0,0,0.04,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0.04
21.7646,-21.4735,14-05-1996,7,Sal2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.06,0,0,0,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0
21.7646,-21.4735,14-05-1996,70,Sal2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0,0,0,1.51,0,0,0.08,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0
26.5409,-21.7865,15-05-1996,7,Sal2013,0,0,0,0,0,0,0,0,0,0,0,0,0,1.76,0,12.1,0,0.08,0,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0
26.5409,-21.7865,15-05-1996,90,Sal2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.06,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0
30.9106,-21.2587,16-05-1996,7,Sal2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,9.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30.9106,-21.2587,16-05-1996,80,Sal2013,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,62.04,0,0.08,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0
35.6675,-20.4248,17-05-1996,7,Sal2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35.6675,-20.4248,17-05-1996,60,Sal2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108.936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39.8961,-19.9964,18-05-1996,7,Sal2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199.716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39.8961,-19.9964,18-05-1996,40,Sal2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44.1269,-20.0239,19-05-1996,7,Sal2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04
44.1269,-20.0239,19-05-1996,50,Sal2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46.4879,-14.062,20-05-1996,7,Sal2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,786.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46.4879,-14.062,20-05-1996,20,Sal2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325.3,0,0.75,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48.7466,-8.0992,21-05-1996,7,Sal2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48.7466,-8.0992,21-05-1996,30,Sal2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47.3563,-18.184,24-09-1996,7,Sal2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,568.888,0,0,0,0,0.04,0,0,0,0,0,0.56,0,0,0,0,0,0,0,0,0
47.3563,-18.184,24-09-1996,40,Sal2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236.028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42.903,-19.992,25-09-1996,7,Sal2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42.903,-19.992,25-09-1996,40,Sal2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.182,0,0,0,0,0,0,0,0,0,0,0.48,0,0,0,0,0,0,0,0,0
38.1715,-20.0155,26-09-1996,7,Sal2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0.86,0,0,0,0,0,0,0.08,0,0,0,0,0,0.72,0,0,0,0,0,0,0,0,0
38.1715,-20.0155,26-09-1996,40,Sal2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22,0,3,0,0,0,0,0,0,0,0,0,0,1.28,0.04,0,0,0,0,0,0,0.12,0
38.1715,-20.0155,26-09-1996,80,Sal2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34.0365,-21.2575,27-09-1996,7,Sal2013,0,0,0,0,0,0,0,0,0,0,0,0,0,1.16,0,3,0,0,0,0,0.04,0,0,0,0,0,0.16,0,0,0,0,0,0,0,0.12,0
34.0365,-21.2575,27-09-1996,80,Sal2013,0,0,0,0,0,0,1.6,3.03,0,0,0,0,0,0,0,12.104,0,0,0,0,0,0,0,0,0,0.04,0.96,0,4.539,0,0,0,0,0,0.16,0
29.4997,-21.8104,28-09-1996,7,Sal2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,3,0,0,0,0,0.08,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0.08,0
29.4997,-21.8104,28-09-1996,110,Sal2013,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0.08,0,3,0,0,0,0,0.04,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0
24.6837,-21.4077,29-09-1996,7,Sal2013,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12.104,0,0,0,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0.2,0
24.6837,-21.4077,29-09-1996,40,Sal2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24,0,39.338,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0.68,0
