Latitude,Longitude,Date,Depth,Emiliania huxleyi Types A and C,Emiliania huxleyi Type A,Emiliania huxleyi Type C,Emiliania huxleyi malformed specimens,Emiliania huxleyi var. corona ,Calcidiscus leptoporus s.l.,Calcidiscus leptoporus large,Calcidiscus leptoporus intermediate,Calcidiscus leptoporus small,Umbilicosphaera foliosa,Umbilicosphaera sibogae,Umbellosphaera irregularis s.l.,Umbellosphaera irregularis s.s.,Umbellosphaera irregularis Type 0,Umbellosphaera tenuis s.l.,Umbellosphaera tenuis Type I,Umbellosphaera tenuis Type III,Umbellosphaera tenuis Types IV
18˚00’N,164˚14’E,04/11/1969,0,63 ,-0,-0,-0,21 ,0 ,-0,-0,-0,0 ,0 ,1470 ,-0,-0,1470 ,-0,-0,-0
19˚00’N,163˚10’E,05/11/1969,0,33 ,-0,-0,-0,0 ,0 ,-0,-0,-0,0 ,0 ,732 ,-0,-0,732 ,-0,-0,-0
20˚00’N,161˚56’E,05/11/1969,0,10 ,-0,-0,-0,0 ,0 ,-0,-0,-0,0 ,0 ,1470 ,-0,-0,1470 ,-0,-0,-0
14˚30’N,-167˚42’W,01/11/1990,0,-0,0 ,0 ,-0,183 ,-0,0 ,33 ,0 ,0 ,0 ,2567 ,1350 ,1217 ,0 ,17 ,0 ,33 
10˚51’N,-172˚50’W,02/11/1990,0,-0,33 ,0 ,-0,0 ,-0,0 ,0 ,0 ,0 ,0 ,3693 ,2075 ,1618 ,0 ,33 ,0 ,0 
7˚01’N,-178˚12’W,03/11/1990,0,-0,340 ,0 ,-0,0 ,-0,0 ,0 ,0 ,0 ,60 ,1500 ,1000 ,500 ,0 ,0 ,0 ,0 
5˚00’N,179˚01’E,04/11/1990,0,-0,0 ,0 ,-0,0 ,-0,0 ,0 ,0 ,0 ,24 ,843 ,719 ,125 ,0 ,8 ,0 ,0 
2˚00’N,178˚59’E,06/11/1990,0,-0,181 ,0 ,-0,0 ,-0,0 ,0 ,0 ,452 ,0 ,995 ,0 ,995 ,0 ,0 ,0 ,0 
-1˚00’S,178˚60’E,08/11/1990,0,-0,0 ,1092 ,-0,0 ,-0,0 ,0 ,218 ,0 ,328 ,983 ,0 ,983 ,0 ,0 ,0 ,0 
-4˚00’S,178˚60’E,09/11/1990,0,-0,0 ,33 ,-0,0 ,-0,166 ,0 ,0 ,265 ,0 ,1161 ,564 ,597 ,0 ,0 ,0 ,0 
-4˚58’S,168˚56’E,12/11/1990,0,-0,0 ,0 ,-0,0 ,-0,0 ,0 ,0 ,0 ,368 ,5888 ,1431 ,4457 ,0 ,0 ,0 ,0 
-4˚60’S,159˚59’E,14/11/1990,0,-0,0 ,0 ,-0,0 ,-0,0 ,0 ,0 ,0 ,21 ,4269 ,1665 ,2604 ,0 ,213 ,0 ,0 
-3˚60’S,160˚00’E,14/11/1990,0,-0,0 ,0 ,-0,0 ,-0,0 ,0 ,0 ,0 ,17 ,2540 ,1229 ,1312 ,0 ,232 ,0 ,0 
-2˚58’S,160˚00’E,14/11/1990,0,-0,0 ,0 ,-0,0 ,-0,0 ,0 ,0 ,0 ,0 ,5940 ,1283 ,4657 ,0 ,223 ,0 ,0 
-0˚59’S,160˚01’E,15/11/1990,0,-0,0 ,0 ,-0,0 ,-0,0 ,0 ,0 ,26 ,53 ,4814 ,2169 ,2645 ,0 ,159 ,0 ,0 
-0˚02’N,160˚07’E,16/11/1990,0,-0,0 ,0 ,-0,0 ,-0,0 ,0 ,0 ,0 ,60 ,3015 ,1627 ,1388 ,0 ,209 ,0 ,0 
-1˚00’N,160˚01’E,16/11/1990,0,-0,0 ,0 ,-0,0 ,-0,0 ,0 ,0 ,0 ,128 ,4927 ,3028 ,1899 ,0 ,77 ,0 ,0 
-2˚60’N,160˚02’E,17/11/1990,0,-0,1220 ,244 ,-0,0 ,-0,0 ,0 ,0 ,0 ,0 ,6223 ,1891 ,4332 ,0 ,427 ,0 ,0 
-3˚59’N,160˚03’E,17/11/1990,0,-0,39 ,0 ,-0,0 ,-0,0 ,0 ,0 ,0 ,0 ,3291 ,1363 ,1928 ,0 ,19 ,0 ,0 
-5˚00’N,160˚03’E,18/11/1990,0,-0,83 ,0 ,-0,0 ,-0,0 ,0 ,0 ,0 ,0 ,6771 ,3839 ,2931 ,0 ,165 ,0 ,0 
-0˚01’S,149˚57’E,24/09/1992,0,-0,115 ,0 ,-0,0 ,-0,0 ,0 ,0 ,184 ,0 ,4784 ,4784 ,0 ,0 ,0 ,0 ,0 
-6˚36’S,153˚36’E,26/09/1992,0,-0,497 ,99 ,-0,99 ,-0,0 ,0 ,0 ,33 ,0 ,7183 ,7183 ,0 ,0 ,33 ,0 ,0 
-14˚15’S,154˚20’E,28/09/1992,0,-0,466 ,0 ,-0,0 ,-0,0 ,0 ,0 ,105 ,15 ,1444 ,1444 ,0 ,0 ,0 ,0 ,0 
-19˚09’S,167˚40’E,02/10/1992,0,-0,396 ,312 ,-0,0 ,-0,0 ,0 ,0 ,12 ,0 ,1489 ,1489 ,0 ,0 ,24 ,0 ,228 
