species,mean,sd,method,reference
Emiliania huxleyi,13.2,0.96,lab measurement,gerecht2018
Emiliania huxleyi,15.6,1.2,lab measurement,gerecht2018
Emiliania huxleyi,8.4,0.72,lab measurement,gerecht2018
Emiliania huxleyi,8.4,0.36,lab measurement,gerecht2018
