count,species
5240,Emiliania huxleyi HET
1887,Syracosphaera pulchra HET
1665,Rhabdosphaera clavigera HET
1634,Umbellosphaera tenuis HET
1288,Umbellosphaera irregularis HET
1272,Discosphaera tubifera HET
1140,Algirosphaera robusta HET
1133,Gephyrocapsa oceanica HET
1092,Gephyrocapsa ericsonii HET
947,Helicosphaera carteri HET
938,Syracosphaera molischii HET
928,Acanthoica quattrospina HET
885,Calcidiscus leptoporus HET
802,Florisphaera profunda NANO
772,Umbilicosphaera sibogae HET
760,Calciosolenia brasiliensis HET
750,Syracosphaera mediterranea HET
657,Syracosphaera histrica HET
653,Rhabdosphaera xiphos HET
575,Syracosphaera ossa HET
572,Calciosolenia murrayi HET
512,Ophiaster hydroideus HET
449,Palusphaera vandelii HET
417,Syracosphaera anthos HET
392,Gephyrocapsa muellerae HET
389,Umbilicosphaera hulburtiana HET
382,Helladosphaera cornifera HOL
354,Syracosphaera nodosa HET
346,Syracosphaera prolongata HET
342,Michaelsarsia elegans HET
342,Oolithotus antillarum HET
328,Gladiolithus flabellatus HET
323,Michaelsarsia adriaticus HET
318,Syracosphaera arethusae HOL
307,Syracosphaera corolla HET
293,Syracosphaera histrica HOL
278,Corisphaera gracilis HOL
276,Ceratolithus cristatus HET
273,Syracosphaera halldalii HET
270,Coccolithus pelagicus HET
266,Calcidiscus leptoporus HOL
231,Syracosphaera mediterranea HOL wettsteinii type
219,Calciopappus caudatus HET
218,Syracosphaera anthos HOL
217,Syracosphaera molischii HOL
213,Ophiaster formosus HET
213,Alisphaera unicornis HET
213,Acanthoica acanthifera HET
212,Umbilicosphaera foliosa HET
211,Syracosphaera protrudens HET
208,Syracosphaera marginiporata HET
202,Cyrtosphaera aculeata HET
192,Alisphaera unicornis POL
186,Oolithotus fragilis HET
182,Calyptrolithina divergens HOL
175,Sphaerocalyptra quadridentata HOL
171,Syracosphaera pulchra HOL oblonga type
171,Syracosphaera neapolitana HET
167,Calciopappus rigidus HET
149,Syracosphaera dilatata HET
142,Syracosphaera bannockii HOL
138,Syracosphaera aurisinae HET
138,Helicosphaera HOL catilliferus type
130,Syracosphaera rotula HET
129,Papposphaera lepida HET
128,Zygosphaera amoena HOL
127,Calyptrosphaera heimdaliae HOL
121,Homozygosphaera spinosa HOL
120,Syracosphaera strigilis HOL
120,Scyphosphaera apsteinii HET
117,Syracosphaera periperforata HOL
112,Syracosphaera hastata HET
106,Helicosphaera pavimentum HOL
105,Calyptrosphaera sphaeroidea HOL
105,Gephyrocapsa ornata HET
105,Syracosphaera orbiculus HET
103,Umbilicosphaera anulus HET
101,Helicosphaera pavimentum HET
100,Syracosphaera magnaghii HOL
89,Syracosphaera arethusae HET
89,Alisphaera gaudii HET
84,Syracosphaera aurisinae HOL
84,Syracosphaera epigrosa HET
79,Syracosphaera bannockii HET
76,Alisphaera extenta HET
73,Syracosphaera tumularis HET
72,Gephyrocapsa parvula HET
69,Helicosphaera wallichii HET
69,Homozygosphaera triarcha HOL
68,Syracosphaera pulchra HOL galea type
67,Syracosphaera ampliora HET
66,Syracosphaera mediterranea HOL gracillima type
62,Picarola margalefii HET
60,Pontosphaera syracusana HET
59,Syracosphaera exigua HET
57,Acanthoica acanthos HET
54,Syracosphaera noroitica HET
53,Acanthoica quattrospina HOL
53,Braarudosphaera bigelowii NANO
52,Helicosphaera hyalina HET
52,Syracosphaera borealis HET
51,Syracosphaera squamosa HET
50,Syracosphaera gaarderae HET
50,Corisphaera tyrrheniensis HOL
47,Syracosphaera isselii HOL
47,Calyptrolithina multipora HOL
46,Zygosphaera marsilii HOL
45,Ceratolithus cristatus CER
44,Calicasphaera blokii HOL
43,Sphaerocalyptra adenensis HOL
41,Wigwamma antarctica HET
41,Syracosphaera nana HOL
41,Syracosphaera mediterranea HOL marisrubri type
41,Syracosphaera mediterranea HOL hellenica type
41,Alisphaera pinnigera HET
41,Coccolithus pelagicus HOL
39,Syracosphaera reniformis HET
39,Syracosphaera gaarderae HOL
35,Syracosphaera pulchra HOL pirus type
34,Alisphaera capulata HET
33,Helicosphaera HOL ponticuliferus type
33,Alisphaera gaudii POL
33,Gliscolithus amitakareniae HOL
32,Pappomonas sp. type 5 HET
31,Pappomonas sp. type 3 HET
29,Calicasphaera concava HOL
28,Formonsella pyramidosa HET
28,Hayaster perplexus HET
27,Syracosphaera strigilis HET
27,Helicosphaera HOL confusus type
27,Helladosphaera pienaarii HOL
25,Syracosphaera lafourcadii HOL
25,Calicasphaera diconstricta HOL
25,Turrilithus latericioides HET
25,Algirosphaera cucullata HET
21,Sphaerocalyptra sp. 1 HOL
20,Poritectolithus maximus HOL
20,Holococcolithophora dentata HOL
20,Syracolithus sp. type A HOL
