species,value,variable
Helladosphaera pienaarii,10.594497628506707,diameter
Helladosphaera pienaarii,10.548980304539128,diameter
Helladosphaera pienaarii,10.592916187858613,diameter
Helladosphaera pienaarii,10.65488906872691,diameter
Helladosphaera pienaarii,10.58540381665573,diameter
Helladosphaera pienaarii,10.599071555594767,diameter
Helladosphaera pienaarii,10.521750302648847,diameter
Helladosphaera pienaarii,10.565882334642794,diameter
Helladosphaera pienaarii,10.595710634596813,diameter
Helladosphaera pienaarii,10.570061652450855,diameter
Helladosphaera pienaarii,10.57376316748699,diameter
Helladosphaera pienaarii,10.632949754717501,diameter
Helladosphaera pienaarii,10.594491765570812,diameter
Helladosphaera pienaarii,10.50125576344996,diameter
Helladosphaera pienaarii,10.609054069767241,diameter
Helladosphaera pienaarii,10.547072383174752,diameter
Helladosphaera pienaarii,10.509098794611958,diameter
Helladosphaera pienaarii,10.593365018665963,diameter
Helladosphaera pienaarii,10.5689325328931,diameter
Helladosphaera pienaarii,10.540166199794001,diameter
Helladosphaera pienaarii,10.555174542070278,diameter
Helladosphaera pienaarii,10.58111644166765,diameter
Helladosphaera pienaarii,10.607271337965436,diameter
Helladosphaera pienaarii,10.566074784236214,diameter
Helladosphaera pienaarii,10.518670303807237,diameter
Helladosphaera pienaarii,10.583686687183793,diameter
Helladosphaera pienaarii,10.537936604039519,diameter
Helladosphaera pienaarii,10.56747861232492,diameter
Helladosphaera pienaarii,10.561840138425458,diameter
Helladosphaera pienaarii,10.587873379246012,diameter
Helladosphaera pienaarii,10.580284263660136,diameter
Helladosphaera pienaarii,10.584254771618813,diameter
Helladosphaera pienaarii,10.548164383358829,diameter
Helladosphaera pienaarii,10.530960796416547,diameter
Helladosphaera pienaarii,10.567205256200255,diameter
Helladosphaera pienaarii,10.526168832922178,diameter
Helladosphaera pienaarii,10.542937817824148,diameter
Helladosphaera pienaarii,10.586351098552004,diameter
Helladosphaera pienaarii,10.559108132442097,diameter
Helladosphaera pienaarii,10.57435143912819,diameter
Helladosphaera pienaarii,10.608131612999903,diameter
Helladosphaera pienaarii,10.577197650753515,diameter
Helladosphaera pienaarii,10.603075174221555,diameter
Helladosphaera pienaarii,10.507820989178178,diameter
Helladosphaera pienaarii,10.516402767101296,diameter
Helladosphaera pienaarii,10.625673151973853,diameter
Helladosphaera pienaarii,10.531902040059087,diameter
Helladosphaera pienaarii,10.544349235417714,diameter
Helladosphaera pienaarii,10.536598513492097,diameter
Helladosphaera pienaarii,10.531566562424505,diameter
Helladosphaera pienaarii,10.551305819314553,diameter
Helladosphaera pienaarii,10.503646531829311,diameter
Helladosphaera pienaarii,10.584171294623868,diameter
Helladosphaera pienaarii,10.521485694783633,diameter
Helladosphaera pienaarii,10.57698106821987,diameter
Helladosphaera pienaarii,10.554219939701232,diameter
Helladosphaera pienaarii,10.592164367805688,diameter
Helladosphaera pienaarii,10.508065647896471,diameter
Helladosphaera pienaarii,10.525801260204402,diameter
Helladosphaera pienaarii,10.630587622502736,diameter
Helladosphaera pienaarii,10.5628208780448,diameter
Helladosphaera pienaarii,10.521283377393717,diameter
Helladosphaera pienaarii,10.539911999876443,diameter
Helladosphaera pienaarii,10.51434892144886,diameter
Helladosphaera pienaarii,10.596086375124221,diameter
Helladosphaera pienaarii,10.505471957534185,diameter
Helladosphaera pienaarii,10.508177350977924,diameter
Helladosphaera pienaarii,10.558259442428398,diameter
Helladosphaera pienaarii,10.56213747767133,diameter
Helladosphaera pienaarii,10.584468996950259,diameter
Helladosphaera pienaarii,10.528742546641423,diameter
Helladosphaera pienaarii,10.571733080705103,diameter
Helladosphaera pienaarii,10.570523926031608,diameter
Helladosphaera pienaarii,10.553206663318578,diameter
Helladosphaera pienaarii,10.62885260123056,diameter
Helladosphaera pienaarii,10.596192560928214,diameter
Helladosphaera pienaarii,10.538895994224593,diameter
Helladosphaera pienaarii,10.550663406394412,diameter
Helladosphaera pienaarii,10.518029772039375,diameter
Helladosphaera pienaarii,10.60283045303155,diameter
Helladosphaera pienaarii,10.541620004485354,diameter
Helladosphaera pienaarii,10.524971193230616,diameter
Helladosphaera pienaarii,10.52340126084852,diameter
Helladosphaera pienaarii,10.550491154385048,diameter
Helladosphaera pienaarii,10.593756136213207,diameter
Helladosphaera pienaarii,10.521239461363315,diameter
Helladosphaera pienaarii,10.619774886116918,diameter
Helladosphaera pienaarii,10.588599793296252,diameter
Helladosphaera pienaarii,10.5341724044582,diameter
Helladosphaera pienaarii,10.634527580787818,diameter
Helladosphaera pienaarii,10.591336397621312,diameter
Helladosphaera pienaarii,10.601017522633326,diameter
Helladosphaera pienaarii,10.549780067386553,diameter
Helladosphaera pienaarii,10.572688594303942,diameter
Helladosphaera pienaarii,10.501259455560708,diameter
Helladosphaera pienaarii,10.56955956550831,diameter
Helladosphaera pienaarii,10.536851349703603,diameter
Helladosphaera pienaarii,10.47000231607118,diameter
Helladosphaera pienaarii,10.545540426399164,diameter
Helladosphaera pienaarii,10.563907370058775,diameter
Helladosphaera pienaarii,10.55878783438406,diameter
Helladosphaera pienaarii,10.571382543833073,diameter
Helladosphaera pienaarii,10.535451850927304,diameter
Helladosphaera pienaarii,10.562351698591534,diameter
Helladosphaera pienaarii,10.541724216202454,diameter
Helladosphaera pienaarii,10.590026159916594,diameter
Helladosphaera pienaarii,10.527759234598909,diameter
Helladosphaera pienaarii,10.552262569126816,diameter
Helladosphaera pienaarii,10.56797638022227,diameter
Helladosphaera pienaarii,10.515726448088238,diameter
Helladosphaera pienaarii,10.615669132663989,diameter
Helladosphaera pienaarii,10.503633036408576,diameter
Helladosphaera pienaarii,10.553229311847,diameter
Helladosphaera pienaarii,10.521375713179372,diameter
Helladosphaera pienaarii,10.573159579284043,diameter
Helladosphaera pienaarii,10.484151055746775,diameter
Helladosphaera pienaarii,10.541908280540836,diameter
Helladosphaera pienaarii,10.616800540630734,diameter
Helladosphaera pienaarii,10.544362627993571,diameter
Helladosphaera pienaarii,10.49866688001022,diameter
Helladosphaera pienaarii,10.6042613948761,diameter
Helladosphaera pienaarii,10.529162106377884,diameter
Helladosphaera pienaarii,10.544522236132305,diameter
Helladosphaera pienaarii,10.549846738128979,diameter
Helladosphaera pienaarii,10.525444288620207,diameter
Helladosphaera pienaarii,10.536861835906048,diameter
Helladosphaera pienaarii,10.504618427515755,diameter
Helladosphaera pienaarii,10.591337557779472,diameter
Helladosphaera pienaarii,10.51335842716618,diameter
Helladosphaera pienaarii,10.554710061112386,diameter
Helladosphaera pienaarii,10.607542117750388,diameter
Helladosphaera pienaarii,10.553369599740408,diameter
Helladosphaera pienaarii,10.570168611951104,diameter
Helladosphaera pienaarii,10.5116960616304,diameter
Helladosphaera pienaarii,10.571624299230576,diameter
Helladosphaera pienaarii,10.534290297019906,diameter
Helladosphaera pienaarii,10.535233804371154,diameter
Helladosphaera pienaarii,10.58309509944911,diameter
Helladosphaera pienaarii,10.57766584393622,diameter
Helladosphaera pienaarii,10.559532818424323,diameter
Helladosphaera pienaarii,10.510639156937152,diameter
Helladosphaera pienaarii,10.556453436472681,diameter
Helladosphaera pienaarii,10.614337810601493,diameter
Helladosphaera pienaarii,10.548787961329232,diameter
Helladosphaera pienaarii,10.500721413763783,diameter
Helladosphaera pienaarii,10.544977226967491,diameter
Helladosphaera pienaarii,10.574740761927774,diameter
Helladosphaera pienaarii,10.5701977005372,diameter
Helladosphaera pienaarii,10.542343755022186,diameter
Helladosphaera pienaarii,10.556257181796807,diameter
Helladosphaera pienaarii,10.507395927322074,diameter
Helladosphaera pienaarii,10.532104656487409,diameter
Helladosphaera pienaarii,10.563813765030382,diameter
Helladosphaera pienaarii,10.550741201280795,diameter
Helladosphaera pienaarii,10.560683947126286,diameter
Helladosphaera pienaarii,10.562923944416093,diameter
Helladosphaera pienaarii,10.518339825931582,diameter
Helladosphaera pienaarii,10.60068969387541,diameter
Helladosphaera pienaarii,10.573570439242351,diameter
Helladosphaera pienaarii,10.538057443308688,diameter
Helladosphaera pienaarii,10.508006947473593,diameter
Helladosphaera pienaarii,10.573924670519116,diameter
Helladosphaera pienaarii,10.572499253285043,diameter
Helladosphaera pienaarii,10.575320319189155,diameter
Helladosphaera pienaarii,10.553602988777804,diameter
Helladosphaera pienaarii,10.551380273633946,diameter
Helladosphaera pienaarii,10.62483627029502,diameter
Helladosphaera pienaarii,10.558644399334396,diameter
Helladosphaera pienaarii,10.579296120528225,diameter
Helladosphaera pienaarii,10.582781249237243,diameter
Helladosphaera pienaarii,10.52562202911611,diameter
Helladosphaera pienaarii,10.520758737062547,diameter
Helladosphaera pienaarii,10.558383184474227,diameter
Helladosphaera pienaarii,10.566609750407862,diameter
Helladosphaera pienaarii,10.545058475980209,diameter
Helladosphaera pienaarii,10.55482588359601,diameter
Helladosphaera pienaarii,10.463017124052199,diameter
Helladosphaera pienaarii,10.558468425183047,diameter
Helladosphaera pienaarii,10.562134109188618,diameter
Helladosphaera pienaarii,10.55169874003877,diameter
Helladosphaera pienaarii,10.538721942723143,diameter
Helladosphaera pienaarii,10.656914845146849,diameter
Helladosphaera pienaarii,10.537811122248735,diameter
Helladosphaera pienaarii,10.592723145614666,diameter
Helladosphaera pienaarii,10.544431816255539,diameter
Helladosphaera pienaarii,10.541879275936047,diameter
Helladosphaera pienaarii,10.589176749925855,diameter
Helladosphaera pienaarii,10.575616722560085,diameter
Helladosphaera pienaarii,10.623322883435236,diameter
Helladosphaera pienaarii,10.583206958465937,diameter
Helladosphaera pienaarii,10.539074072726146,diameter
Helladosphaera pienaarii,10.569192116204032,diameter
Helladosphaera pienaarii,10.568357272192241,diameter
Helladosphaera pienaarii,10.574617489158042,diameter
Helladosphaera pienaarii,10.519831908588642,diameter
Helladosphaera pienaarii,10.636386858210246,diameter
Helladosphaera pienaarii,10.54323346592909,diameter
Helladosphaera pienaarii,10.541404353453508,diameter
Helladosphaera pienaarii,10.588101457841999,diameter
Helladosphaera pienaarii,10.566035907332274,diameter
Helladosphaera pienaarii,10.626215987328244,diameter
Helladosphaera pienaarii,10.583403406826305,diameter
Helladosphaera pienaarii,10.525051325361865,diameter
Helladosphaera pienaarii,10.50012983448265,diameter
Helladosphaera pienaarii,10.560765323471337,diameter
Helladosphaera pienaarii,10.534751054556112,diameter
Helladosphaera pienaarii,10.501878327957508,diameter
Helladosphaera pienaarii,10.495035728019538,diameter
Helladosphaera pienaarii,10.520696652431962,diameter
Helladosphaera pienaarii,10.527137898788878,diameter
Helladosphaera pienaarii,10.539739706777468,diameter
Helladosphaera pienaarii,10.628646338217012,diameter
Helladosphaera pienaarii,10.597433978529612,diameter
Helladosphaera pienaarii,10.602312493674294,diameter
Helladosphaera pienaarii,10.59589752799155,diameter
Helladosphaera pienaarii,10.492556863897894,diameter
Helladosphaera pienaarii,10.477720261011335,diameter
Helladosphaera pienaarii,10.595060025583585,diameter
Helladosphaera pienaarii,10.540901579722744,diameter
Helladosphaera pienaarii,10.504724297046202,diameter
Helladosphaera pienaarii,10.553610272592842,diameter
Helladosphaera pienaarii,10.55473513819035,diameter
Helladosphaera pienaarii,10.551566513610013,diameter
Helladosphaera pienaarii,10.572045370643554,diameter
Helladosphaera pienaarii,10.55871831882286,diameter
Helladosphaera pienaarii,10.537218006585809,diameter
Helladosphaera pienaarii,10.586119969726107,diameter
Helladosphaera pienaarii,10.599045876761688,diameter
Helladosphaera pienaarii,10.514595261750996,diameter
Helladosphaera pienaarii,10.573633094818943,diameter
Helladosphaera pienaarii,10.562841671186389,diameter
Helladosphaera pienaarii,10.559506326165362,diameter
Helladosphaera pienaarii,10.544052815078473,diameter
Helladosphaera pienaarii,10.576996269356314,diameter
Helladosphaera pienaarii,10.606567611748616,diameter
Helladosphaera pienaarii,10.500205511359582,diameter
Helladosphaera pienaarii,10.522679736914217,diameter
Helladosphaera pienaarii,10.527480420486791,diameter
Helladosphaera pienaarii,10.583868401527477,diameter
Helladosphaera pienaarii,10.56549673441154,diameter
Helladosphaera pienaarii,10.550317339338937,diameter
Helladosphaera pienaarii,10.587626565992174,diameter
Helladosphaera pienaarii,10.586726911382623,diameter
Helladosphaera pienaarii,10.598839259496119,diameter
Helladosphaera pienaarii,10.55802739358146,diameter
Helladosphaera pienaarii,10.522518916829407,diameter
Helladosphaera pienaarii,10.535931472837694,diameter
Helladosphaera pienaarii,10.62358670789239,diameter
