,Latitude,Longitude,Depth,Month,Year,Acanthoica acanthifera,Acanthoica acanthos,Acanthoica quattrospina,Acanthoica quattrospina HOL,Algirosphaera robusta,Alisphaera capulata,Alisphaera extenta,Alisphaera gaudii,Alisphaera gaudii POL,Alisphaera pinnigera,Alisphaera unicornis,Alisphaera unicornis POL,Calcidiscus leptoporus,Calcidiscus leptoporus HOL,Calciopappus caudatus,Calciopappus rigidus,Calciosolenia brasiliensis,Calciosolenia murrayi,Calicasphaera blokii,Calicasphaera concava,Calicasphaera diconstricta,Calyptrolithina divergens,Calyptrolithina multipora,Calyptrosphaera heimdaliae,Calyptrosphaera sphaeroidea HOL,Ceratolithus cristatus CER,Ceratolithus cristatus HET,Coccolithus pelagicus,Coccolithus pelagicus HOL,Corisphaera gracilis,Corisphaera tyrrheniensis,Cyrtosphaera aculeata,Discosphaera tubifera,Emiliania huxleyi,Florisphaera profunda,Formonsella pyramidosa,Gephyrocapsa ericsonii,Gephyrocapsa muellerae,Gephyrocapsa oceanica,Gephyrocapsa ornata,Gephyrocapsa parvula,Gladiolithus flabellatus,Gliscolithus amitakareniae,Hayaster perplexus,Helicosphaera HOL catilliferus type,Helicosphaera HOL confusus type,Helicosphaera HOL ponticuliferus type,Helicosphaera carteri,Helicosphaera hyalina,Helicosphaera pavimentum,Helicosphaera pavimentum HOL,Helicosphaera wallichii,Helladosphaera cornifera,Helladosphaera pienaarii,Homozygosphaera spinosa,Homozygosphaera triarcha,Michaelsarsia adriaticus,Michaelsarsia elegans,Oolithotus antillarum,Oolithotus fragilis,Ophiaster formosus,Ophiaster hydroideus,Palusphaera vandelii,Pappomonas sp. type 3,Pappomonas sp. type 5,Papposphaera lepida,Picarola margalefii,Pontosphaera syracusana,Rhabdosphaera clavigera,Rhabdosphaera xiphos,Scyphosphaera apsteinii,Sphaerocalyptra adenensis,Sphaerocalyptra quadridentata,Syracosphaera ampliora,Syracosphaera anthos,Syracosphaera anthos HOL,Syracosphaera arethusae,Syracosphaera arethusae HOL,Syracosphaera aurisinae,Syracosphaera aurisinae HOL,Syracosphaera bannockii,Syracosphaera bannockii HOL,Syracosphaera borealis,Syracosphaera corolla,Syracosphaera dilatata,Syracosphaera epigrosa,Syracosphaera exigua,Syracosphaera gaarderae,Syracosphaera gaarderae HOL,Syracosphaera halldalii,Syracosphaera hastata,Syracosphaera histrica,Syracosphaera histrica HOL,Syracosphaera isselii HOL,Syracosphaera lafourcadii HOL,Syracosphaera magnaghii HOL,Syracosphaera marginiporata,Syracosphaera mediterranea,Syracosphaera mediterranea HOL gracillima type,Syracosphaera mediterranea HOL marisrubri type,Syracosphaera mediterranea HOL wettsteinii type,Syracosphaera molischii,Syracosphaera molischii HOL,Syracosphaera nana HOL,Syracosphaera neapolitana,Syracosphaera nodosa,Syracosphaera noroitica,Syracosphaera orbiculus,Syracosphaera ossa,Syracosphaera periperforata HOL,Syracosphaera prolongata,Syracosphaera protrudens,Syracosphaera pulchra,Syracosphaera pulchra HOL galea type,Syracosphaera pulchra HOL oblonga type,Syracosphaera reniformis,Syracosphaera rotula,Syracosphaera squamosa,Syracosphaera strigilis,Syracosphaera strigilis HOL,Syracosphaera tumularis,Turrilithus latericioides,Umbellosphaera irregularis,Umbellosphaera tenuis,Umbilicosphaera anulus,Umbilicosphaera foliosa,Umbilicosphaera hulburtiana,Umbilicosphaera sibogae,Wigwamma antarctica,Zygosphaera amoena,Zygosphaera marsilii
22,-61.5,-67.5,10,2,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288986.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2700.0,,
23,-61.5,-67.5,50,2,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181289.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2900.0,,
24,-61.5,-67.5,75,2,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65706.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000.0,,
25,-61.5,-67.5,100,2,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15749.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,900.0,,
26,-61.5,-66.5,5,2,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2982.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,-60.5,-169.5,20,12,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104083.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,-60.5,-169.5,40,12,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153939.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,-60.5,-169.5,60,12,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37711.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,-60.5,-169.5,100,12,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14251.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,-60.5,-169.5,150,12,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17374.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,-60.5,-115.5,20,12,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69592.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,-60.5,-115.5,40,12,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69387.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,-60.5,-115.5,60,12,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132744.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,-60.5,-115.5,100,12,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77228.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,-60.5,-68.5,5,2,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216317.66666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1866.6666666666667,,
37,-60.5,-67.5,10,2,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236584.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,-60.5,-67.5,50,2,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76776.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2800.0,,
39,-60.5,-67.5,100,2,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86127.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000.0,,
40,-60.5,-67.5,175,2,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5072.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,-60.5,-55.5,5,2,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72340.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,900.0,,
42,-60.5,-54.5,50,2,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,457.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500.0,,
43,-60.5,-54.5,100,2,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,918.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,-60.5,174.5,0,1,2005,,,,,,,,,,,,,57.0,,,,,,,,,,,,,,,,,,,,,86970.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,-59.5,-171.5,10,12,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312074.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,-59.5,-171.5,20,12,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269940.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,-59.5,-171.5,40,12,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,351038.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,-59.5,-171.5,60,12,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113604.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,-59.5,-171.5,80,12,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2669.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,-59.5,-171.5,100,12,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10273.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,-59.5,-171.5,150,12,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10724.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,-59.5,-68.5,5,2,2009,,,,,,,,,,,,,900.0,,,,,,,,,,,,,,,,,,,,,272981.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,900.0,,
53,-59.5,-68.5,10,2,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70835.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,-59.5,-68.5,20,2,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48459.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,-59.5,-68.5,50,2,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286268.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
