Genus,Species,Volume,PIC pg C,PIC pmol C,Phase
Emiliania,huxleyi,48.64,0.6,0.05,HET
Emiliania,huxleyi,63.66,1.73,0.14,HET
Emiliania,huxleyi,160.75,3.12,0.26,HET
Emiliania,huxleyi,47.65,1.32,0.11,HET
Emiliania,huxleyi,44.91,1.3,0.11,HET
Emiliania,huxleyi,57.94,2.02,0.17,HET
Emiliania,huxleyi,57.36,1.14,0.1,HET
Emiliania,huxleyi,42.98,1.03,0.09,HET
Emiliania,huxleyi,221.78,5.8,0.48,HET
Emiliania,huxleyi,114.57,2.51,0.21,HET
Emiliania,huxleyi,52.14,1.71,0.14,HET
Emiliania,huxleyi,73.71,0.77,0.06,HET
Emiliania,huxleyi,106.99,3.63,0.3,HET
Emiliania,huxleyi,60.85,1.14,0.09,HET
Emiliania,huxleyi,93.99,1.83,0.15,HET
Emiliania,huxleyi,33.54,0.93,0.08,HET
Emiliania,huxleyi,37.02,0.53,0.04,HET
Emiliania,huxleyi,79.77,2.77,0.23,HET
Emiliania,huxleyi,51.63,0.96,0.08,HET
Emiliania,huxleyi,83.78,1.21,0.1,HET
Emiliania,huxleyi,56.58,1.76,0.15,HET
Emiliania,huxleyi,40.45,1.01,0.08,HET
Emiliania,huxleyi,39.63,1.43,0.12,HET
Emiliania,huxleyi,60.14,1.21,0.1,HET
Emiliania,huxleyi,121.08,3.89,0.32,HET
Emiliania,huxleyi,45.55,1.67,0.14,HET
Emiliania,huxleyi,48.26,1.34,0.11,HET
Emiliania,huxleyi,73.58,1.75,0.15,HET
Emiliania,huxleyi,181.91,7.06,0.59,HET
Emiliania,huxleyi,55.94,1.43,0.12,HET
Emiliania,huxleyi,54.85,2.03,0.17,HET
Emiliania,huxleyi,76.59,1.65,0.14,HET
Emiliania,huxleyi,83.78,1.53,0.13,HET
Emiliania,huxleyi,53.5,2.1,0.17,HET
Emiliania,huxleyi,68.32,2.64,0.22,HET
Emiliania,huxleyi,57.76,1.58,0.13,HET
Emiliania,huxleyi,80.81,2.35,0.2,HET
Emiliania,huxleyi,62.36,1.72,0.14,HET
Emiliania,huxleyi,41.34,0.72,0.06,HET
Emiliania,huxleyi,44.3,0.76,0.06,HET
Emiliania,huxleyi,59.96,1.14,0.1,HET
Emiliania,huxleyi,50.3,0.93,0.08,HET
Emiliania,huxleyi,52.54,0.65,0.05,HET
Emiliania,huxleyi,67.39,1.65,0.14,HET
Emiliania,huxleyi,40.28,0.75,0.06,HET
Emiliania,huxleyi,42.48,1.38,0.12,HET
Emiliania,huxleyi,42.92,0.77,0.06,HET
Emiliania,huxleyi,110.91,2.3,0.19,HET
Emiliania,huxleyi,99.23,2.76,0.23,HET
Emiliania,huxleyi,95.19,1.65,0.14,HET
Emiliania,huxleyi,168.88,4.78,0.4,HET
Emiliania,huxleyi,121.79,4.37,0.36,HET
Emiliania,huxleyi,46.42,0.96,0.08,HET
Emiliania,huxleyi,40.99,0.65,0.05,HET
Emiliania,huxleyi,266.78,5.95,0.5,HET
Emiliania,huxleyi,313.12,6.63,0.55,HET
Emiliania,huxleyi,49.58,0.93,0.08,HET
Emiliania,huxleyi,31.71,0.7,0.06,HET
Emiliania,huxleyi,71.73,1.65,0.14,HET
Emiliania,huxleyi,261.01,6.36,0.53,HET
Emiliania,huxleyi,71.81,1.47,0.12,HET
Emiliania,huxleyi,205.2,4.98,0.42,HET
Emiliania,huxleyi,93.89,1.82,0.15,HET
Emiliania,huxleyi,62.24,1.75,0.15,HET
Emiliania,huxleyi,63.12,1.21,0.1,HET
Emiliania,huxleyi,58.93,3.71,0.31,HET
Emiliania,huxleyi,491.75,6.67,0.56,HET
Emiliania,huxleyi,56.83,1.84,0.15,HET
Emiliania,huxleyi,48.54,1.57,0.13,HET
Emiliania,huxleyi,35.96,1.08,0.09,HET
Emiliania,huxleyi,46.99,1.32,0.11,HET
Emiliania,huxleyi,305.05,6.03,0.5,HET
Emiliania,huxleyi,41.98,0.95,0.08,HET
Emiliania,huxleyi,39.07,1.61,0.13,HET
Emiliania,huxleyi,55.34,1.67,0.14,HET
Emiliania,huxleyi,46.99,1.06,0.09,HET
Emiliania,huxleyi,74.9,2.21,0.18,HET
Emiliania,huxleyi,49.58,1.09,0.09,HET
Emiliania,huxleyi,112.76,2.92,0.24,HET
Emiliania,huxleyi,75.9,1.09,0.09,HET
Emiliania,huxleyi,52.68,1.5,0.13,HET
Emiliania,huxleyi,46.99,1.1,0.09,HET
Emiliania,huxleyi,52.54,1.51,0.13,HET
Emiliania,huxleyi,50.07,0.7,0.06,HET
Emiliania,huxleyi,66.6,2.36,0.2,HET
Emiliania,huxleyi,40.45,1.89,0.16,HET
Emiliania,huxleyi,37.02,1.16,0.1,HET
Emiliania,huxleyi,31.71,0.8,0.07,HET
Emiliania,huxleyi,39.55,0.5,0.04,HET
Emiliania,huxleyi,61.94,1.86,0.15,HET
Emiliania,huxleyi,50.01,1.69,0.14,HET
Emiliania,huxleyi,51.2,1.17,0.1,HET
Emiliania,huxleyi,176.38,3.64,0.3,HET
Emiliania,huxleyi,54.5,1.52,0.13,HET
Emiliania,huxleyi,62.21,2.15,0.18,HET
Emiliania,huxleyi,68.52,1.05,0.09,HET
Emiliania,huxleyi,40.59,1.26,0.1,HET
Emiliania,huxleyi,44.06,0.87,0.07,HET
Emiliania,huxleyi,30.75,0.4,0.03,HET
Emiliania,huxleyi,51,1.12,0.09,HET
Emiliania,huxleyi,88.64,1.67,0.14,HET
Emiliania,huxleyi,39.55,1.08,0.09,HET
Emiliania,huxleyi,54.5,1.28,0.11,HET
Emiliania,huxleyi,41.05,0.85,0.07,HET
Emiliania,huxleyi,65.88,0.89,0.07,HET
Emiliania,huxleyi,60.7,1.7,0.14,HET
Emiliania,huxleyi,50.83,0.74,0.06,HET
Emiliania,huxleyi,72.57,1.73,0.14,HET
Emiliania,huxleyi,56.54,1.82,0.15,HET
Emiliania,huxleyi,64.16,0.79,0.07,HET
Emiliania,huxleyi,51.06,1.37,0.11,HET
Emiliania,huxleyi,75.42,1.19,0.1,HET
Emiliania,huxleyi,81.95,0.88,0.07,HET
Emiliania,huxleyi,67.35,2.75,0.23,HET
Emiliania,huxleyi,60.85,1.92,0.16,HET
Emiliania,huxleyi,48.51,0.88,0.07,HET
Emiliania,huxleyi,36.7,1.21,0.1,HET
Emiliania,huxleyi,122.03,2.31,0.19,HET
