Genus,Species,Volume,PIC pg C,PIC pmol C,Phase
Gephyrocapsa,ericsonii,13.48,0.98,0.08,HET
Gephyrocapsa,ericsonii,14.49,0.87,0.07,HET
Gephyrocapsa,ericsonii,9.45,1.24,0.1,HET
Gephyrocapsa,ericsonii,11.6,1.29,0.11,HET
Gephyrocapsa,ericsonii,13.17,1.05,0.09,HET
Gephyrocapsa,ericsonii,13.79,1.59,0.13,HET
Gephyrocapsa,ericsonii,15.16,1,0.08,HET
Gephyrocapsa,ericsonii,16.26,0.94,0.08,HET
Gephyrocapsa,ericsonii,23.86,2.17,0.18,HET
Gephyrocapsa,ericsonii,20.95,0.72,0.06,HET
Gephyrocapsa,ericsonii,13.81,0.95,0.08,HET
Gephyrocapsa,ericsonii,10.19,0.47,0.04,HET
Gephyrocapsa,ericsonii,26.07,1.49,0.12,HET
Gephyrocapsa,ericsonii,17.78,0.51,0.04,HET
Gephyrocapsa,ericsonii,19.4,1.86,0.15,HET
Gephyrocapsa,ericsonii,11.07,1.69,0.14,HET
Gephyrocapsa,ericsonii,18.21,1.11,0.09,HET
Gephyrocapsa,ericsonii,16.23,0.89,0.07,HET
Gephyrocapsa,ericsonii,24.8,0.73,0.06,HET
Gephyrocapsa,ericsonii,10.45,1.03,0.09,HET
Gephyrocapsa,ericsonii,11.32,0.72,0.06,HET
Gephyrocapsa,ericsonii,11.3,0.88,0.07,HET
Gephyrocapsa,ericsonii,15.52,1.26,0.11,HET
Gephyrocapsa,ericsonii,9.93,0.39,0.03,HET
Gephyrocapsa,ericsonii,9.54,0.81,0.07,HET
Gephyrocapsa,muellerae,62.7,10.19,0.85,HET
Gephyrocapsa,parvula,12.53,0.92,0.08,HET
Gephyrocapsa,ericsonii,16.16,2.38,0.2,HET
Gephyrocapsa,parvula,17.61,2.07,0.17,HET
Gephyrocapsa,ericsonii,12.26,0.62,0.05,HET
Gephyrocapsa,parvula,9.35,0.76,0.06,HET
Gephyrocapsa,ericsonii,10.78,0.35,0.03,HET
Gephyrocapsa,ericsonii,12.79,0.77,0.06,HET
Gephyrocapsa,ericsonii,8.9,0.55,0.05,HET
Gephyrocapsa,ericsonii,10.74,0.56,0.05,HET
Gephyrocapsa,ericsonii,11.3,0.54,0.05,HET
Gephyrocapsa,ericsonii,13.2,0.43,0.04,HET
Gephyrocapsa,parvula,10.98,0.77,0.06,HET
Gephyrocapsa,parvula,14.48,1.2,0.1,HET
Gephyrocapsa,parvula,14.49,1.28,0.11,HET
Gephyrocapsa,ericsonii,9.64,0.52,0.04,HET
Gephyrocapsa,ericsonii,14.92,1.6,0.13,HET
Gephyrocapsa,ericsonii,9.66,0.74,0.06,HET
Gephyrocapsa,parvula,17.01,0.68,0.06,HET
Gephyrocapsa,parvula,14.48,1.38,0.12,HET
Gephyrocapsa,ericsonii,14.47,0.72,0.06,HET
Gephyrocapsa,ericsonii,8.9,0.5,0.04,HET
Gephyrocapsa,ericsonii,14.14,0.62,0.05,HET
Gephyrocapsa,parvula,20.25,1.63,0.14,HET
Gephyrocapsa,ericsonii,18.58,0.86,0.07,HET
Gephyrocapsa,ericsonii,15.55,0.81,0.07,HET
Gephyrocapsa,ericsonii,9.16,0.18,0.02,HET
Gephyrocapsa,muellerae,57.42,8.31,0.69,HET
Gephyrocapsa,ericsonii,15.16,0.77,0.06,HET
Gephyrocapsa,ericsonii,14.82,0.61,0.05,HET
Gephyrocapsa,muellerae,84.82,18.2,1.52,HET
Gephyrocapsa,ericsonii,10.76,1.11,0.09,HET
Gephyrocapsa,muellerae,64.48,6,0.5,HET
Gephyrocapsa,ornata,63.99,7.53,0.63,HET
Gephyrocapsa,ericsonii,14.63,1.45,0.12,HET
Gephyrocapsa,ericsonii,10.48,0.72,0.06,HET
Gephyrocapsa,ericsonii,13.6,1.04,0.09,HET
Gephyrocapsa,ericsonii,12.83,0.89,0.07,HET
Gephyrocapsa,ericsonii,9.12,0.56,0.05,HET
Gephyrocapsa,ericsonii,12.26,1.02,0.09,HET
Gephyrocapsa,ericsonii,14.36,1.15,0.1,HET
Gephyrocapsa,ericsonii,11.03,0.7,0.06,HET
Gephyrocapsa,ericsonii,9.15,0.85,0.07,HET
Gephyrocapsa,ericsonii,10.48,0.63,0.05,HET
Gephyrocapsa,ericsonii,8.41,0.52,0.04,HET
Gephyrocapsa,ericsonii,8.4,0.5,0.04,HET
Gephyrocapsa,ericsonii,11.34,0.62,0.05,HET
Gephyrocapsa,ericsonii,11.03,0.84,0.07,HET
Gephyrocapsa,ericsonii,12.22,0.88,0.07,HET
Gephyrocapsa,parvula,10.19,0.78,0.06,HET
Gephyrocapsa,parvula,11.61,1.12,0.09,HET
Gephyrocapsa,ericsonii,11.33,0.68,0.06,HET
Gephyrocapsa,ericsonii,14.12,0.69,0.06,HET
Gephyrocapsa,parvula,17.78,1.32,0.11,HET
Gephyrocapsa,muellerae,59.53,9.62,0.8,HET
Gephyrocapsa,parvula,17.81,0.76,0.06,HET
Gephyrocapsa,muellerae,101.43,10.44,0.87,HET
Gephyrocapsa,ornata,61.11,3.25,0.27,HET
Gephyrocapsa,parvula,9.36,0.59,0.05,HET
Gephyrocapsa,muellerae,55,6.16,0.51,HET
Gephyrocapsa,muellerae,49.24,5.67,0.47,HET
Gephyrocapsa,muellerae,40.56,5.39,0.45,HET
Gephyrocapsa,ornata,37.25,3.66,0.3,HET
Gephyrocapsa,parvula,12.83,1.09,0.09,HET
Gephyrocapsa,muellerae,106.53,9,0.75,HET
Gephyrocapsa,parvula,15.16,1.12,0.09,HET
Gephyrocapsa,parvula,14.44,0.83,0.07,HET
Gephyrocapsa,muellerae,66.55,5.16,0.43,HET
Gephyrocapsa,muellerae,94.12,10.51,0.88,HET
Gephyrocapsa,muellerae,118.55,15.9,1.33,HET
Gephyrocapsa,muellerae,88.04,10.07,0.84,HET
Gephyrocapsa,parvula,19.44,1.6,0.13,HET
Gephyrocapsa,muellerae,79.53,12.5,1.04,HET
Gephyrocapsa,parvula,15.53,1.66,0.14,HET
Gephyrocapsa,parvula,15.88,0.96,0.08,HET
Gephyrocapsa,ornata,29.49,5.69,0.47,HET
Gephyrocapsa,muellerae,52.46,4.52,0.38,HET
Gephyrocapsa,parvula,13.14,0.99,0.08,HET
Gephyrocapsa,muellerae,63.65,6.82,0.57,HET
Gephyrocapsa,ornata,25.81,3.53,0.29,HET
Gephyrocapsa,parvula,12.52,0.34,0.03,HET
Gephyrocapsa,muellerae,57.46,10.04,0.84,HET
Gephyrocapsa,muellerae,72.29,5.51,0.46,HET
Gephyrocapsa,muellerae,75.39,8.31,0.69,HET
Gephyrocapsa,muellerae,65.73,5.76,0.48,HET
Gephyrocapsa,muellerae,88.32,7.36,0.61,HET
Gephyrocapsa,muellerae,56.66,6.59,0.55,HET
Gephyrocapsa,muellerae,84.09,9.64,0.8,HET
Gephyrocapsa,muellerae,57.4,7.43,0.62,HET
Gephyrocapsa,muellerae,127.17,11.63,0.97,HET
Gephyrocapsa,muellerae,42.02,4.11,0.34,HET
Gephyrocapsa,muellerae,89.44,14.4,1.2,HET
Gephyrocapsa,muellerae,92.92,13.44,1.12,HET
Gephyrocapsa,ornata,45.5,4.12,0.34,HET
Gephyrocapsa,muellerae,64.3,6.94,0.58,HET
Gephyrocapsa,muellerae,54.23,6.59,0.55,HET
Gephyrocapsa,muellerae,62.53,4.74,0.39,HET
Gephyrocapsa,muellerae,78.43,6.93,0.58,HET
Gephyrocapsa,muellerae,63.6,8.32,0.69,HET
Gephyrocapsa,muellerae,111.54,8.4,0.7,HET
Gephyrocapsa,muellerae,61.01,9.29,0.77,HET
Gephyrocapsa,muellerae,57.35,10.12,0.84,HET
Gephyrocapsa,ornata,35.97,5.2,0.43,HET
Gephyrocapsa,muellerae,71.23,7.54,0.63,HET
Gephyrocapsa,muellerae,82.39,6.91,0.58,HET
Gephyrocapsa,muellerae,68.74,7.17,0.6,HET
Gephyrocapsa,muellerae,51.58,3.46,0.29,HET
Gephyrocapsa,muellerae,78.18,13.39,1.12,HET
Gephyrocapsa,muellerae,59.14,7.15,0.6,HET
Gephyrocapsa,muellerae,74.08,4.17,0.35,HET
Gephyrocapsa,muellerae,78.37,9.39,0.78,HET
Gephyrocapsa,muellerae,58.25,10.91,0.91,HET
Gephyrocapsa,muellerae,74.21,9.11,0.76,HET
Gephyrocapsa,muellerae,72.22,7.71,0.64,HET
Gephyrocapsa,muellerae,65.42,8.79,0.73,HET
Gephyrocapsa,muellerae,58.31,6.61,0.55,HET
Helicosphaera,parimentum,485.52,30.57,2.55,HET
Helicosphaera,carteri,2694.65,196.53,16.38,HET
Helicosphaera,hyalina,1163.93,148.53,12.38,HET
Helicosphaera,wallichii,5275,347.17,28.93,HET
Helicosphaera,pavimentum,1882.65,104.67,8.72,HET
Helicosphaera,wallichii,946.75,117.08,9.76,HET
Helicosphaera,wallichii,1173.85,169.84,14.15,HET
Helicosphaera,wallichii,938.71,154.31,12.86,HET
Helicosphaera,hyalina,1029.8,55.52,4.63,HET
Helicosphaera,hyalina,680.34,57.4,4.78,HET
Helicosphaera,pavimentum,1491.68,124.95,10.41,HET
Helicosphera,wallichi,1455.65,221.78,18.48,HET
Helladosphaera,cornifera HOL,107.94,2.22,0.19,HOL
Helladosphaera,cornifera HOL,86.79,2.04,0.17,HOL
Helladosphaera,cornifera HOL,190.84,2.59,0.22,HOL
Helladosphaera,cornifera,243.67,1.56,0.13,HOL
Helladosphaera,cornifera,627.16,5.71,0.48,HOL
Helladosphaera,cornifera,351.97,2.06,0.17,HOL
Helladosphaera,cornifera,108.53,2.5,0.21,HOL
Helladosphaera,cornifera,510.64,4.31,0.36,HOL
Helladosphaera,cornifera,188.3,2.32,0.19,HOL
Helladosphaera,cornifera,133.94,2.18,0.18,HOL
HOL,,161.75,0.82,0.07,HOL
HOL,,22.54,0.14,0.01,HOL
HOL,,550.98,3.03,0.25,HOL
HOL,,171.02,2.13,0.18,HOL
HOL,,248.86,2.16,0.18,HOL
HOL,,65.62,0.99,0.08,HOL
HOL,,124.31,1.33,0.11,HOL
HOL,,619.56,4.42,0.37,HOL
HOL,,22.58,1.03,0.09,HOL
HOL,,80.55,1.87,0.16,HOL
HOL,,123.64,1.81,0.15,HOL
HOL,,179.29,1.21,0.1,HOL
HOL,,369.74,7.73,0.64,HOL
HOL,,213.64,1.77,0.15,HOL
HOL,,173.06,4.13,0.34,HOL
Homozygisphaera,spinosa,177.7,5.95,0.5,HOL
Homozygosphaera,spinosa,116.41,0.61,0.05,HOL
Michaelsarsia,elegans,283.5,17.93,2.49,HET
Michaelsarsia,elegans,185.27,17.43,2.7,HET
Michaelsarsia,elegans,231.76,21.45,3.29,HET
Michaelsarsia,elegans,213.59,14.51,2.08,HET
Michaelsarsia,elegans,352.71,16.99,2.42,HET
Oolithotus,antillarium,523.3,54.4,4.53,HET
Oolithotus,antillarium,322.34,33.56,2.8,HET
Oolithotus,antillarium,403.99,71.87,5.99,HET
Oolithotus,antillarum,120.71,15.34,1.28,HET
Oolithotus,antillarum,207.44,35.93,2.99,HET
Oolithotus,antillarum,287.69,28.18,2.35,HET
Oolithotus,antillarum,229.2,36.53,3.04,HET
Oolithotus,antillarum,167.87,15.57,1.3,HET
Oolithotus,antillarum,52.82,12.84,1.07,HET
Oolithotus,antillarum,104.21,13.93,1.16,HET
Oolithotus,fragilis,1761.6,178.75,14.9,HET
Oolithotus,antillarum,187.05,22.13,1.84,HET
Oolithotus,antillarum,151.98,15.66,1.31,HET
Oolithotus,antillarum,92.92,5.22,0.44,HET
Oolithotus,antillarum,148.81,13.37,1.11,HET
Oolithotus,antillarum,80.33,14.78,1.23,HET
Oolithotus,antillarum,309.66,38.23,3.19,HET
Oolithotus,antillarum,400.29,30.77,2.56,HET
Oolithotus,antillarum,190.59,35.02,2.92,HET
Oolithotus,antillarum,219.58,26.06,2.17,HET
Oolithotus,antillarum,306.05,29.21,2.43,HET
Oolithotus,antillarum,234.64,15.17,1.26,HET
Oolithotus,antillarum,102.44,14.84,1.24,HET
Oolithotus,antillarum,230.76,48.21,4.02,HET
Oolithotus,antillarum,295.76,42.24,3.52,HET
Oolithotus,antillarum,205.59,21.09,1.76,HET
Oolithotus,antillarum,229.62,46.82,3.9,HET
Oolithotus,antillarum,128.57,15.76,1.31,HET
Oolithotus,antillarum,72.95,17.05,1.42,HET
Oolithotus,antillarum,243.22,36.67,3.06,HET
Oolithotus,fragilis,947.39,123.66,10.31,HET
Oolithotus,fragilis,1561.61,138.18,11.52,HET
Oolithotus,antillarum,191.38,15.07,1.26,HET
Oolithotus,antillarum,139.39,7.64,0.64,HET
Ophiaster,sp.,78.21,4.37,0.69,HET
Ophiaster,sp.,419.53,4.63,0.72,HET
Ophiaster,sp.,97.37,4.23,0.68,HET
Ophiaster,sp.,108.26,4.22,0.68,HET
Ophiaster,sp.,139.52,4.22,0.68,HET
Ophiaster,sp.,244.59,5.77,0.81,HET
Ophiaster,formosus,106.1,4.43,0.7,HET
Ophiaster,formosus,115.91,4.48,0.7,HET
Polycrater,sp.,276.69,1.45,0.12,HET
Polycrater,sp.,538.32,1.99,0.17,HET
Poricalyptra,,196.58,8.01,0.67,HOL
Rhabdosphaera,clavigera,108.07,11.56,1.58,HET
Rhabdosphaera,clavigera,158.59,17.75,2.44,HET
Rhabdosphaera,clavigera,199.12,24.75,3.7,HET
Rhabdosphaera,clavigera,209.48,28.8,4.27,HET
Rhabdosphaera,clavigera,134.94,19.49,2.83,HET
Rhabdosphaera,clavigera,148.46,16.07,2.29,HET
Rhabdosphaera,clavigera,159.64,20.34,2.94,HET
Rhabdosphaera,clavigera,101.12,9.52,1.41,HET
Rhabdosphaera,clavigera,206.07,15.95,2.26,HET
Rhabdosphaera,clavigera,198.17,22.68,3.32,HET
Rhabdosphaera,clavigera,146.87,19.5,3.06,HET
Rhabdosphaera,stylifera,158.48,18.64,2.51,HET
Rhabdosphaera,stylifera,361.61,26.2,3.63,HET
Rhabdosphaera,clavigera,241.56,21.89,3.12,HET
Rhabdosphaera,stylifera,128.08,16.15,2.21,HET
Rhabdosphaera,stylifera,178.52,12.38,1.69,HET
Rhabdosphaera,stylifera,202.33,13,1.77,HET
Rhabdosphaera,stylifera,505.43,56.11,8.49,HET
Syracosphaera,nodosa,224.98,4.97,0.57,HET
Syracosphaera,bannockii,77.07,1.19,0.13,HET
Syracosphaera,molischii,78.22,1.01,0.08,HET
Syracosphaera,nodosa,211.92,8.55,1.17,HET
Syracosphaera,sp.,143.79,1.53,0.13,HET
Syracosphaera,bannockii,249.43,1.99,0.17,HET
Syracosphaera,sp.,150.87,3.9,0.32,HET
Syracosphaera,molischii,85.46,1.99,0.17,HET
Syracosphaera,ossa,112.03,2.83,0.24,HET
Syracosphaera,sp.,412.79,8.88,0.74,HET
Syracosphaera,pulchra oblongata,1782.74,12.07,1.01,HOL
Syracosphaera,sp.,107.86,2.6,0.22,HET
Syracosphaera,sp.,92.1,1.59,0.13,HET
Syracosphaera,molischii,63.01,0.71,0.06,HET
Syracosphaera,hastata,120.8,1.18,0.1,HET
Syracosphaera,sp.,27.86,0.37,0.03,HET
Syracosphaera,sp.,39.94,0.5,0.04,HET
Syracosphaera,sp.,20.09,0.36,0.03,HET
Syracosphaera,nodosa,59.04,1.01,0.08,HET
Syracosphaera,bannockii,249.43,1.75,0.15,HET
Syracosphaera,prolongata,48.19,0.79,0.07,HET
Syracosphaera,nodosa,85.32,1.14,0.1,HET
Syracosphaera,aurisinae HOL,321.69,7.71,0.64,HOL
Syracosphaera,sp.,62.27,0.81,0.07,HET
Syracosphaera,nodosa,100.84,1.15,0.1,HET
Syracosphaera,orbiculus,54.38,0.49,0.04,HET
Syracosphaera,hastata,53.99,1.13,0.09,HET
Syracosphaera,pulchra HOL pirus type,2261.17,27.44,2.29,HOL
Syracosphaera,aurisinae HOL,319.53,7.48,0.62,HOL
Syracosphaera,sp.,804.25,8.5,0.71,HET
Syracosphaera,sp.,465.82,3.78,0.31,HET
Syracosphaera,sp.,342.84,4.6,0.38,HET
Syracosphaera,ossa,156.57,4.32,0.36,HET
Syracosphaera,ossa,183.86,2.64,0.22,HET
Syracosphaera,aurisinae HOL,504.86,9.45,0.79,HOL
Syracosphaera,molischii,107.88,2.17,0.18,HET
Syracosphaera,molischii,113.69,2.98,0.25,HET
Syracosphaera,sp.,48.1,1.25,0.1,HET
Syracosphaera,molischii,207.96,4.37,0.36,HET
Syracosphaera,mediterranea HOL wettsteinii type,317.82,5.54,0.46,HOL
Syracosphaera,noroitica,41.47,1.58,0.13,HET
Syracosphaera,noroitica,73.12,0.91,0.08,HET
Syracosphaera,anthos HOL,1152.57,11.34,0.94,HOL
Syracosphaera,strigilis HOL,143.5,2.1,0.18,HOL
Syracosphaera,ossa,193.35,4.14,0.34,HET
Syracosphaera,sp.,13.78,0.22,0.02,HET
Syracosphaera,bannockii,321.12,9.47,1.27,HET
Syracosphaera,bannockii HOL,49.9,1.25,0.1,HOL
Syracosphaera,ossa,143.43,2.39,0.2,HET
Syracosphaera,ossa,97.17,4.22,0.35,HET
Syracosphaera,ossa,131.87,3.18,0.26,HET
Syracosphaera,sp.,19.37,0.31,0.03,HET
Syracosphaera,pulchra,2738.66,69.09,8.06,HET
Syracosphaera,ossa,145.2,2.88,0.24,HET
Syracosphaera,ossa,154.62,5.04,0.42,HET
Syracosphaera,prolongata,772.2,10.02,0.84,HET
Syracosphaera,sp.,27.41,0.64,0.05,HET
Syracosphaera,bannockii HOL,150.19,2.8,0.23,HOL
Syracosphaera,bannockii HOL,88.07,1.81,0.15,HOL
Syracosphaera,castellata,17.72,0.51,0.04,HET
Syracosphaera,sp.,15,0.22,0.02,HET
Syracosphaera,ossa,140.16,4.17,0.35,HET
Syracosphaera,HOL,27.99,0.2,0.02,HOL
Syracosphaera,ossa,101.37,2.4,0.2,HET
Syracosphaera,HOL,31.25,0.28,0.02,HOL
Syracosphaera,bannockii HOL,95.81,0.95,0.08,HOL
Syracosphaera,sp.,12.13,0.15,0.01,HET
Syracosphaera,HOL,34.04,0.21,0.02,HOL
Syracosphaera,prolongata,351.97,3.11,0.26,HET
Syracosphaera,ossa,89.23,2.46,0.2,HET
Syracosphaera,prolongata,868.24,3.29,0.27,HET
Syracosphaera,halldalii,23.86,0.26,0.02,HET
Syracosphaera,prolongata,247.01,3.27,0.27,HET
Syracosphaera,molischii,172.79,1.63,0.14,HET
Syracosphaera,ossa,132.03,3.97,0.33,HET
Syracosphaera,sp.,109.07,1.31,0.11,HET
Syracosphaera,halldalii,43.61,1.33,0.11,HET
Syracosphaera,halldalii,870.08,9.89,0.82,HET
Syracosphaera,ossa,79.45,1.57,0.13,HET
Syracosphaera,noroitica,58.55,0.6,0.05,HET
Syracosphaera,histrica HOL,181.63,4.03,0.34,HOL
Syracosphaera,sp.,53.86,0.61,0.05,HET
Syracosphaera,mediterranea HOL wettsteinii type,3227.32,15.04,1.25,HOL
Syracosphaera,anthos,161.07,1.42,0.12,HET
Syracosphaera,nodosa,511.08,4.84,0.4,HET
Syracosphaera,anthos,449.11,6.9,0.75,HET
Syracosphaera,sp.,148.33,0.65,0.05,HET
Syracosphaera,leptolepis,98.62,1.21,0.1,HET
Syracosphaera,sp.,79.39,0.84,0.07,HET
Syracosphaera,pulchra HOL,1756.1,15.66,1.3,HOL
Syracosphaera,pulchra,1140.93,23.15,1.93,HET
Syracosphaera,leptolepis,653.2,2.54,0.21,HET
Syracosphaera,bannockii,164.27,2.85,0.24,HET
Syracosphaera,pulchra,2387.83,68.21,7.22,HET
Syracosphaera,pulchra,4126.94,118.66,11.89,HET
Syracosphaera,sp.,35.02,0.62,0.05,HET
Syracosphaera,sp.,378.37,4.68,0.39,HET
Syracosphaera,pulchra,1539.64,113.77,11.59,HET
Syracosphaera,histrica,948.84,10.91,0.91,HET
Syracosphaera,sp.,2977.92,26.7,2.22,HET
Syracosphaera,sp.,146.67,0.99,0.08,HET
Syracosphaera,sp.,237.46,5.76,0.48,HET
Syracosphaera,pulchra,682.94,27.59,2.3,HET
Syracosphaera,bannockii HOL,79.75,1.07,0.09,HOL
Syracosphaera,mediterranea,2492.06,35.93,2.99,HET
Syracosphaera,sp.,28.85,0.83,0.07,HET
Syracosphaera,ossa,126.66,2.09,0.17,HET
Syracosphaera,aurisinae HOL,517.63,12.96,1.08,HOL
Syracosphaera,bannockii HOL,109.13,2.75,0.23,HOL
Syracosphaera,nana?,280.8,4.04,0.34,HET
Syracosphaera,ossa,119.38,3.18,0.26,HET
Syracosphaera,ossa,125.79,2.71,0.23,HET
Syracosphaera,nodosa,173.21,2.11,0.18,HET
Syracosphaera,molischii,282.76,2.69,0.22,HET
Syracosphaera,sp.,109.18,1.55,0.13,HET
Syracosphaera,ossa,176.37,5.58,0.46,HET
Syracosphaera,nodoso gr. sp.,102.7,1.15,0.1,HET
Syracosphaera,ossa type,99.72,5.19,0.43,HET
Syracosphaera,ossa type,179.27,6.4,0.59,HET
Syracosphaera,pulchra,2713.46,69.69,6.84,HET
Syracosphaera,prolongata,285.36,4.96,0.41,HET
Syracosphaera,ossa,174.12,4.14,0.35,HET
Syracosphaera,nodosa,348.25,11.95,1.58,HET
Syracosphaera,sp.,11.62,0.38,0.03,HET
Syracosphaera,sp.,240.52,4.31,0.36,HET
Syracosphaera,sp.,11,0.33,0.03,HET
Syracosphaera,nodosa,79.47,1.52,0.13,HET
Syracosphaera,prolongata,474.17,2.31,0.19,HET
Syracosphaera,molischii,212.25,3.17,0.26,HET
Syracosphaera,nodosa,222.97,4.53,0.63,HET
Syracosphaera,molischii,114.28,4.27,0.36,HET
Syracosphaera,reniformis,56.5,0.59,0.05,HET
Syracosphaera,sp.,77.34,1.32,0.11,HET
Syracosphaera,anthos,168.59,3.53,0.47,HET
Syracosphaera,sp.,57.39,0.88,0.07,HET
Syracosphaera,reniformis,65.49,1.41,0.2,HET
Syracosphaera,reniformis,59.26,1.53,0.22,HET
Syracosphaera,reniformis,84.97,3.04,0.42,HET
Tetralithoides,quadrilaminata,3840.17,52.89,4.41,HET
Tetralithoides,quadrilaminata,5301.99,31.79,2.65,HET
Tetralithoides,quadrilaminata,3846.69,39.3,3.28,HET
Tetralithoides,quadrilaminata,3607.43,61.02,5.09,HET
Tetralithoides,quadrilaminata,4531.36,33.85,2.82,HET
Umbellosphaera,tenuis,144.85,2.86,0.24,HET
Umbellosphaera,tenuis,333.31,6.32,0.53,HET
Umbellosphaera,tenuis,283.81,4,0.33,HET
Umbellosphaera,tenuis,269.69,2.28,0.19,HET
Umbellosphaera,tenuis,241.56,6.05,0.5,HET
Umbellosphaera,tenuis,370.54,6.01,0.5,HET
Umbellosphaera,tenuis,246.75,9.68,0.81,HET
Umbellosphaera,tenuis,527.93,11.19,0.93,HET
Umbellosphaera,tenuis,444.02,11.87,0.99,HET
Umbellosphaera,tenuis,350.62,5.88,0.49,HET
Umbellosphaera,tenuis,286.38,3.49,0.29,HET
Umbellosphaera,tenuis,483.31,10.52,0.88,HET
Umbellosphaera,tenuis,163.58,6.41,0.53,HET
Umbellosphaera,tenuis,513.64,10.96,0.91,HET
Umbellosphaera,tenuis,427.76,6.69,0.56,HET
Umbellosphaera,tenuis,640.53,8.02,0.67,HET
Umbellosphaera,tenuis,348.03,5.99,0.5,HET
Umbellosphaera,irregularis,256.62,4.17,0.35,HET
Umbellosphaera,tenuis,432.26,11.06,0.92,HET
Umbellosphaera,tenuis,322.84,4.69,0.39,HET
Umbellosphaera,tenuis,294.48,11.57,0.96,HET
Umbellosphaera,tenuis,322.73,8.09,0.67,HET
Umbellosphaera,tenuis,233.16,9.72,0.81,HET
Umbellosphaera,tenuis,212.83,4.23,0.35,HET
Umbellosphaera,irregularis,636.21,16.96,1.41,HET
Umbellosphaera,tenuis,532.27,10,0.83,HET
Umbellosphaera,tenuis,302.45,7.11,0.59,HET
Umbellosphaera,tenuis,359.74,4.55,0.38,HET
Umbellosphaera,irregularis,906.59,16.98,1.41,HET
Umbellosphaera,tenuis,254.55,4.29,0.36,HET
Umbellosphaera,tenuis,409.35,7.09,0.59,HET
Umbellosphaera,tenuis,422.12,9.8,0.82,HET
Umbellosphaera,tenuis,397.14,15.53,1.29,HET
Umbellosphaera,tenuis,380.42,9.05,0.75,HET
Umbellosphaera,tenuis,358.77,6.21,0.52,HET
Umbellosphaera,irregularis,1218.8,15.85,1.32,HET
Umbellosphaera,tenuis,508.12,6.14,0.51,HET
Umbellosphaera,tenuis,377.14,14.48,1.21,HET
Umbellosphaera,tenuis,336.52,7.41,0.62,HET
Umbellosphaera,irregularis,1027.22,7.2,0.6,HET
Umbellosphaera,tenuis,446.23,6.86,0.57,HET
Umbellosphaera,tenuis,308.53,11.09,0.92,HET
Umbellosphaera,tenuis,202.1,2.49,0.21,HET
Umbellosphaera,tenuis,485.96,10.85,0.9,HET
Umbellosphaera,irregularis,1019.15,20.63,1.72,HET
Umbellosphaera,irregularis,1360.47,10.81,0.9,HET
Umbellosphaera,tenuis,293.96,4.44,0.37,HET
Umbellosphaera,tenuis,326.23,8.3,0.69,HET
Umbellosphaera,tenuis,365.93,8.67,0.72,HET
Umbellosphaera,tenuis,402.71,9.81,0.82,HET
Umbellosphaera,tenuis,356.38,11.93,0.99,HET
Umbellosphaera,tenuis,273.25,6.3,0.53,HET
Umbellosphaera,tenuis,508.42,10.21,0.85,HET
Umbellosphaera,irregularis,466.34,8.03,0.67,HET
Umbellosphaera,irregularis,547.35,7.97,0.66,HET
Umbellosphaera,tenuis,699.21,9.61,0.8,HET
Umbellosphaera,tenuis,457.09,6.77,0.56,HET
Umbellosphaera,tenuis,254.63,4.96,0.41,HET
Umbellosphaera,tenuis,475.98,12.63,1.05,HET
Umbellosphaera,tenuis,336.16,11.07,0.92,HET
Umbellosphaera,irregularis,605.95,16.79,1.4,HET
Umbellosphaera,irregularis,918.75,11.08,0.92,HET
Umbellosphaera,irregularis,936.59,12.39,1.03,HET
Umbellosphaera,irregularis,1152.61,13.35,1.11,HET
Umbellosphaera,irregularis,889.04,3.34,0.28,HET
Umbellosphaera,irregularis,407.95,7.14,0.6,HET
Umbellosphaera,irregularis,277.86,5.51,0.46,HET
Umbellosphaera,irregularis,324.67,6.16,0.51,HET
Umbellosphaera,irregularis,732.67,15.47,1.29,HET
Umbellosphaera,irregularis,158.23,3.79,0.32,HET
Umbellosphaera,tenuis,111.56,2.92,0.24,HET
Umbellosphaera,tenuis,220.46,2.4,0.2,HET
Umbellosphaera,tenuis,360.64,3.16,0.26,HET
Umbellosphaera,tenuis,265.8,1.92,0.16,HET
Umbellosphaera,tenuis,273.84,1.84,0.15,HET
Umbellosphaera,irregularis,639.34,0,0,HET
Umbellosphaera,tenuis,398.78,6.3,0.53,HET
Umbellosphaera,tenuis,342.18,2.32,0.19,HET
Umbellosphaera,tenuis,543.85,4.61,0.38,HET
Umbellosphaera,irregularis,831.85,0.13,0.01,HET
Umbellosphaera,tenuis,379.92,2.15,0.18,HET
Umbellosphaera,tenuis,278.26,0.88,0.07,HET
Umbellosphaera,tenuis,341.71,3.48,0.29,HET
Umbellosphaera,tenuis,245.52,2.89,0.24,HET
Umbellosphaera,tenuis,594.26,3.59,0.3,HET
Umbellosphaera,tenuis,541.07,4.35,0.36,HET
Umbellosphaera,tenuis,166.02,1.23,0.1,HET
Umbellosphaera,irregularis,118.26,0.09,0.01,HET
Umbellosphaera,tenuis,328.96,2.34,0.2,HET
Umbellosphaera,tenuis,289.96,3.11,0.26,HET
Umbellosphaera,irregularis,547.03,6.66,0.56,HET
Umbellosphaera,tenuis,328.64,5.56,0.46,HET
Umbellosphaera,tenuis,218.96,3.01,0.25,HET
Umbellosphaera,irregularis,849.62,0.14,0.01,HET
