species	phase	alternate_phase	reference	ref
Syracosphaera molischii	HET	Syracosphaera molischii HOL		Triantaphyllou et al., 2016
Syracosphaera molischii	HET	Syracosphaera molischii HOL		Skejic et al., 2018
Syracosphaera molischii HOL	HOL	Syracosphaera molischii		Cros et al., 2000
Syracosphaera molischii HOL	HOL	Syracosphaera molischii		Triantaphyllou et al., 2016
Syracosphaera molischii HOL	HOL	Syracosphaera molischii		Skejic et al., 2018
Syracosphaera nana HOL	HOL	Syracosphaera nana		Kleijne et al., 1991
Syracosphaera nana HOL	HOL	Syracosphaera nana		Cros et al., 2000
Syracosphaera neapolitana	HET			
Syracosphaera nodosa	HET			
Syracosphaera noroitica	HET			
Syracosphaera orbiculus	HET			
Syracosphaera ossa	HET			
Syracosphaera periperforata HOL	HOL	Syracosphaera periperforata		Archontikis et al., 2020
Syracosphaera prolongata	HET			
Syracosphaera protrudens	HET			
Syracosphaera pulchra	HET	Syracosphaera pulchra HOL galea type		Keuter et al., 2021
Syracosphaera pulchra	HET	Syracosphaera pulchra HOL oblonga type		Cros et al., 2000
Syracosphaera pulchra	HET	Syracosphaera pulchra HOL oblonga type		Geissen et al., 2002
Syracosphaera pulchra	HET	Syracosphaera pulchra HOL pirus type		Lecal-Schlauder 1961
Syracosphaera pulchra	HET	Syracosphaera pulchra HOL pirus type		Geissen et al., 2002
Syracosphaera pulchra	HET	Syracosphaera pulchra HOL pirus type		Heimdal et al., 2000
Syracosphaera pulchra HOL galea type	HOL	Syracosphaera pulchra		Keuter et al., 2021
Syracosphaera pulchra HOL oblonga type	HOL	Syracosphaera pulchra		Cros et al., 2000
Syracosphaera pulchra HOL oblonga type	HOL	Syracosphaera pulchra		Geissen et al., 2002
Syracosphaera pulchra HOL pirus type	HOL	Syracosphaera pulchra		Lecal-Schlauder 1961
Syracosphaera pulchra HOL pirus type	HOL	Syracosphaera pulchra		Geissen et al., 2002
Syracosphaera pulchra HOL pirus type	HOL	Syracosphaera pulchra		Heimdal et al., 2000
Syracosphaera reniformis	HET			
Syracosphaera rotula	HET			
Syracosphaera squamosa	HET			
Syracosphaera strigilis	HET	Syracosphaera strigilis HOL		Supraha et al., 2015
Syracosphaera strigilis	HET	Syracosphaera strigilis HOL		Supraha et al., 2018
Syracosphaera strigilis HOL	HOL	Syracosphaera strigilis		Supraha et al., 2015
Syracosphaera strigilis HOL	HOL	Syracosphaera strigilis		Supraha et al., 2018
Syracosphaera tumularis	HET			
Turrilithus latericioides	HET			
Umbellosphaera irregularis	HET			
Umbellosphaera tenuis	HET			
Umbilicosphaera anulus	HET			
Umbilicosphaera foliosa	HET			
Umbilicosphaera hulburtiana	HET			
Umbilicosphaera sibogae	HET			
Wigwamma antarctica	HET			
Zygosphaera amoena	HOL			
Zygosphaera marsilii	HOL			
